Sample_ID,Country,Observatory_ID,ARMS_ID,Deploy_Date,Collect_Date,Gene_COI,Gene_18S,Gene_ITS,Gene_COI_negative_control,Gene_18S_negative_control,Gene_ITS_negative_control,Latitude,Longitude,Depth_min,Depth_max,SequencingRunRepeat
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_SF40,BEL,BelgiumCoast,BirkenfelsB,6/17/2020,3/9/2021,ERR12541398,ERR12541300,none,ERR12541482,ERR12541384,none,51.64816667,2.53583333,38.81,38.81,run 1
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF100,BEL,BelgiumCoast,CoastbustersA,4/22/2021,10/8/2021,ERR12541399,ERR12541301,none,ERR12541482,ERR12541384,none,51.11486388,2.57857672,9,9,run 1
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF500,BEL,BelgiumCoast,CoastbustersA,4/22/2021,10/8/2021,none,none,none,none,none,none,51.11486388,2.57857672,9,9,run 1
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_SF40,BEL,BelgiumCoast,CoastbustersA,4/22/2021,10/8/2021,ERR12541400,ERR12541302,none,ERR12541482,ERR12541384,none,51.11486388,2.57857672,9,9,run 1
ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF100,BEL,BelgiumCoast,CoastbustersB,4/22/2021,2/15/2023,none,none,none,none,none,none,51.11529044,2.57995513,9,9,run 1
ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF500,BEL,BelgiumCoast,CoastbustersB,4/22/2021,2/15/2023,none,none,none,none,none,none,51.11529044,2.57995513,9,9,run 1
ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_SF40,BEL,BelgiumCoast,CoastbustersB,4/22/2021,2/15/2023,none,none,none,none,none,none,51.11529044,2.57995513,9,9,run 1
ARMS_Bodo_GStraB_20190621_20201207_MF100,NOR,Bodo,GStraB,6/21/2019,12/7/2020,ERR9632090,ERR9632075,none,ERR9632065,ERR9632062,none,67.24035,14.711733,2,2,run 1
ARMS_Bodo_GStraB_20190621_20201207_MF500,NOR,Bodo,GStraB,6/21/2019,12/7/2020,ERR9632091,ERR9632076,none,ERR9632065,ERR9632062,none,67.24035,14.711733,2,2,run 1
ARMS_Bodo_GStraB_20190621_20201207_SF50_A,NOR,Bodo,GStraB,6/21/2019,12/7/2020,ERR9632089,ERR9632074,none,ERR9632065,ERR9632062,none,67.24035,14.711733,2,2,run 1
ARMS_Bodo_GStraM_20190621_20201207_MF100,NOR,Bodo,GStraM,6/21/2019,12/7/2020,ERR9632093,ERR9632078,none,ERR9632065,ERR9632062,none,67.240217,14.711533,2,2,run 1
ARMS_Bodo_GStraM_20190621_20201207_MF500,NOR,Bodo,GStraM,6/21/2019,12/7/2020,ERR9632094,ERR9632079,none,ERR9632065,ERR9632062,none,67.240217,14.711533,2,2,run 1
ARMS_Bodo_GStraM_20190621_20201207_SF50_A,NOR,Bodo,GStraM,6/21/2019,12/7/2020,ERR9632092,ERR9632077,none,ERR9632065,ERR9632062,none,67.240217,14.711533,2,2,run 1
ARMS_Crete_1HERP_20180928_20190128_MF125_DMSO,GRC,Crete,1HERP,9/28/2018,1/28/2019,ERR9632063,ERR9632060,none,ERR9632065,ERR9632062,none,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20180928_20190128_MF125_ETOH,GRC,Crete,1HERP,9/28/2018,1/28/2019,ERR9632064,ERR9632061,none,ERR9632065,ERR9632062,none,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO,GRC,Crete,1HERP,9/28/2018,1/28/2019,ERR3460468,ERR4605086,ERR4018431,ERR3460471,ERR4605902,ERR4018475,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20180928_20190128_MF500_ETOH,GRC,Crete,1HERP,9/28/2018,1/28/2019,ERR3460469,ERR4605087,ERR4018432,ERR3460471,ERR4605902,ERR4018475,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20180928_20190128_PS250_ETOH,GRC,Crete,1HERP,9/28/2018,1/28/2019,none,ERR4605089,ERR4018434,none,ERR4605902,ERR4018475,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20180928_20190128_SED,GRC,Crete,1HERP,9/28/2018,1/28/2019,ERR3460470,ERR4605088,ERR4018433,ERR3460471,ERR4605902,ERR4018475,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20180928_20190128_SF_DMSO,GRC,Crete,1HERP,9/28/2018,1/28/2019,ERR3460466,ERR4605084,ERR4018429,ERR3460471,ERR4605902,ERR4018475,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20180928_20190128_SF_ETOH,GRC,Crete,1HERP,9/28/2018,1/28/2019,ERR3460467,ERR4605085,ERR4018430,ERR3460471,ERR4605902,ERR4018475,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20190612_20191011_MF500,GRC,Crete,1HERP,6/12/2019,10/11/2019,ERR7125537,ERR7125536,ERR7125538,ERR7125534,ERR7125533,ERR7125535,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20190612_20191011_MF90,GRC,Crete,1HERP,6/12/2019,10/11/2019,ERR7125540,ERR7125539,ERR7125541,ERR7125534,ERR7125533,ERR7125535,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20190612_20191011_SF,GRC,Crete,1HERP,6/12/2019,10/11/2019,ERR7125543,ERR7125542,ERR7125544,ERR7125534,ERR7125533,ERR7125535,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20190612_20200210_MF500,GRC,Crete,1HERP,6/12/2019,2/10/2020,ERR7125546,ERR7125545,ERR7125547,ERR7125534,ERR7125533,ERR7125535,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20190612_20200210_MF90,GRC,Crete,1HERP,6/12/2019,2/10/2020,ERR7125549,ERR7125548,ERR7125550,ERR7125534,ERR7125533,ERR7125535,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20190612_20200210_SF,GRC,Crete,1HERP,6/12/2019,2/10/2020,ERR7125552,ERR7125551,ERR7125553,ERR7125534,ERR7125533,ERR7125535,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20190612_20200618_MF500,GRC,Crete,1HERP,6/12/2019,6/18/2020,ERR7125555,ERR7125554,ERR7125556,ERR7125534,ERR7125533,ERR7125535,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20190612_20200618_MF90,GRC,Crete,1HERP,6/12/2019,6/18/2020,ERR7125558,ERR7125557,ERR7125559,ERR7125534,ERR7125533,ERR7125535,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20190612_20200618_SF,GRC,Crete,1HERP,6/12/2019,6/18/2020,ERR7125561,ERR7125560,ERR7125562,ERR7125534,ERR7125533,ERR7125535,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20200903_20210122_MF500,GRC,Crete,1HERP,9/3/2020,1/22/2021,ERR7125564,ERR7125563,ERR7125565,ERR7125534,ERR7125533,ERR7125535,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20200903_20210122_MF90,GRC,Crete,1HERP,9/3/2020,1/22/2021,ERR7125567,ERR7125566,ERR7125568,ERR7125534,ERR7125533,ERR7125535,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20200903_20210122_SF,GRC,Crete,1HERP,9/3/2020,1/22/2021,ERR7125570,ERR7125569,ERR7125571,ERR7125534,ERR7125533,ERR7125535,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20200903_20210625_MF500,GRC,Crete,1HERP,9/3/2020,6/25/2021,none,none,none,none,none,none,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20200903_20210625_MF90,GRC,Crete,1HERP,9/3/2020,6/25/2021,none,none,none,none,none,none,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20200903_20210625_SF,GRC,Crete,1HERP,9/3/2020,6/25/2021,none,none,none,none,none,none,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20200903_20211012_MF500,GRC,Crete,1HERP,9/3/2020,10/12/2021,none,none,none,none,none,none,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20200903_20211012_MF90,GRC,Crete,1HERP,9/3/2020,10/12/2021,none,none,none,none,none,none,35.343153,25.136605,4,4,run 1
ARMS_Crete_1HERP_20200903_20211012_SF,GRC,Crete,1HERP,9/3/2020,10/12/2021,none,none,none,none,none,none,35.343153,25.136605,4,4,run 1
ARMS_Crete_2UBPC_20190924_20201211_MF500,GRC,Crete,2UBPC,9/24/2019,12/11/2020,ERR7125573,ERR7125572,ERR7125574,ERR7125534,ERR7125533,ERR7125535,35.34662,25.27876,21,21,run 1
ARMS_Crete_2UBPC_20190924_20201211_MF90,GRC,Crete,2UBPC,9/24/2019,12/11/2020,ERR7125576,ERR7125575,ERR7125577,ERR7125534,ERR7125533,ERR7125535,35.34662,25.27876,21,21,run 1
ARMS_Crete_2UBPC_20190924_20201211_SF,GRC,Crete,2UBPC,9/24/2019,12/11/2020,ERR7125579,ERR7125578,ERR7125580,ERR7125534,ERR7125533,ERR7125535,35.34662,25.27876,21,21,run 1
ARMS_Crete_2UBPC_20201120_20220901_MF500,GRC,Crete,2UBPC,11/20/2020,9/1/2022,none,none,none,none,none,none,35.34662,25.27876,21,21,run 1
ARMS_Crete_2UBPC_20201120_20220901_MF90,GRC,Crete,2UBPC,11/20/2020,9/1/2022,none,none,none,none,none,none,35.34662,25.27876,21,21,run 1
ARMS_Crete_2UBPC_20201120_20220901_SF,GRC,Crete,2UBPC,11/20/2020,9/1/2022,none,none,none,none,none,none,35.34662,25.27876,21,21,run 1
ARMS_Eilat_Katza1_20181024_20200706_MF100,ISR,Eilat,Katza1,10/24/2018,7/6/2020,ERR7127623,ERR7127611,none,ERR7125582,ERR7125581,none,29.52,34.934444,10,10,run 1
ARMS_Eilat_Katza1_20181024_20200706_MF500,ISR,Eilat,Katza1,10/24/2018,7/6/2020,ERR12541474,ERR12541376,none,ERR12541481,ERR12541383,none,29.52,34.934444,10,10,run 2  
ARMS_Eilat_Katza1_20181024_20200706_MF500,ISR,Eilat,Katza1,10/24/2018,7/6/2020,ERR7127624,ERR7127612,none,ERR7125582,ERR7125581,none,29.52,34.934444,10,10,run 1
ARMS_Eilat_Katza1_20181024_20200706_SF45,ISR,Eilat,Katza1,10/24/2018,7/6/2020,ERR7127625,ERR7127613,none,ERR7125582,ERR7125581,none,29.52,34.934444,10,10,run 1
ARMS_Eilat_Katza2_20181024_20200803_MF100,ISR,Eilat,Katza2,10/24/2018,8/3/2020,ERR7127626,ERR7127614,none,ERR7125582,ERR7125581,none,29.52,34.934444,10,10,run 1
ARMS_Eilat_Katza2_20181024_20200803_MF500,ISR,Eilat,Katza2,10/24/2018,8/3/2020,ERR7127627,ERR7127615,none,ERR7125582,ERR7125581,none,29.52,34.934444,10,10,run 1
ARMS_Eilat_Katza2_20181024_20200803_SF45,ISR,Eilat,Katza2,10/24/2018,8/3/2020,ERR7127628,ERR7127616,none,ERR7125582,ERR7125581,none,29.52,34.934444,10,10,run 1
ARMS_Eilat_NR1_20181017_20200204_MF100,ISR,Eilat,NR1,10/17/2018,2/4/2020,ERR7127629,ERR7127617,none,ERR7125582,ERR7125581,none,29.50555,34.920278,10,10,run 1
ARMS_Eilat_NR1_20181017_20200204_MF500,ISR,Eilat,NR1,10/17/2018,2/4/2020,ERR7127630,ERR7127618,none,ERR7125582,ERR7125581,none,29.50555,34.920278,10,10,run 1
ARMS_Eilat_NR1_20181017_20200204_SF45,ISR,Eilat,NR1,10/17/2018,2/4/2020,ERR7127631,ERR7127619,none,ERR7125582,ERR7125581,none,29.50555,34.920278,10,10,run 1
ARMS_Eilat_NR2_20181017_20200524_MF100,ISR,Eilat,NR2,10/17/2018,5/24/2020,ERR7127632,ERR7127620,none,ERR7125582,ERR7125581,none,29.50555,34.920278,10,10,run 1
ARMS_Eilat_NR2_20181017_20200524_MF500,ISR,Eilat,NR2,10/17/2018,5/24/2020,ERR7127633,ERR7127621,none,ERR7125582,ERR7125581,none,29.50555,34.920278,10,10,run 1
ARMS_Eilat_NR2_20181017_20200524_SF45,ISR,Eilat,NR2,10/17/2018,5/24/2020,ERR7127634,ERR7127622,none,ERR7125582,ERR7125581,none,29.50555,34.920278,10,10,run 1
ARMS_Galway_Gurr1_20200721_20210708_MF100,IRL,Galway,Gurr1,7/21/2020,7/8/2021,ERR12541401,ERR12541303,none,ERR12541482,ERR12541384,none,53.315693,-9.670278,6.6,6.6,run 1
ARMS_Galway_Gurr1_20200721_20210708_MF500,IRL,Galway,Gurr1,7/21/2020,7/8/2021,ERR12541402,ERR12541304,none,ERR12541482,ERR12541384,none,53.315693,-9.670278,6.6,6.6,run 1
ARMS_Galway_Gurr1_20200721_20210708_SF40,IRL,Galway,Gurr1,7/21/2020,7/8/2021,ERR12541403,ERR12541305,none,ERR12541482,ERR12541384,none,53.315693,-9.670278,6.6,6.6,run 1
ARMS_Galway_Gurr2_20200721_20210707_MF100,IRL,Galway,Gurr2,7/21/2020,7/7/2021,ERR12541404,ERR12541306,none,ERR12541482,ERR12541384,none,53.315675,-9.668541,6.2,6.2,run 1
