Sample_ID,Country,Observatory_ID,ARMS_ID,Deploy_Date,Collect_Date,Gene_COI,Gene_18S,Gene_ITS,Gene_COI_negative_control,Gene_18S_negative_control,Gene_ITS_negative_control,Latitude,Longitude,Depth_min,Depth_max,SequencingRunRepeat
ARMS_Getxo_G3_20190624_20191016_SF40,ESP,Getxo,G3,6/24/2019,10/16/2019,ERR7127711,ERR7127700,none,ERR7125582,ERR7125581,none,43.33843,-3.01483,5,10,run 1
ARMS_Getxo_G3_20200624_20201103_MF100,ESP,Getxo,G3,6/24/2020,11/3/2020,ERR7127685,ERR7127684,ERR7127686,ERR7125534,ERR7125533,ERR7125535,43.33843,-3.01483,5,10,run 1
ARMS_Getxo_G3_20200624_20201103_SF40,ESP,Getxo,G3,6/24/2020,11/3/2020,ERR7127688,ERR7127687,ERR7127689,ERR7125534,ERR7125533,ERR7125535,43.33843,-3.01483,5,10,run 1
ARMS_GulfOfPiran_BojaVida_20200611_20210728_MF40_DMSO,SVN,GulfOfPiran,BojaVida,6/11/2020,7/28/2021,ERR12541410,ERR12541312,none,ERR12541482,ERR12541384,none,45.54875,13.5507,22,22,run 1
ARMS_GulfOfPiran_BojaVida_20200611_20210728_SF100_DMSO,SVN,GulfOfPiran,BojaVida,6/11/2020,7/28/2021,none,none,none,none,none,none,45.54875,13.5507,22,22,run 1
ARMS_GulfOfPiran_BojaVida_20200611_20210728_SF40_DMSO,SVN,GulfOfPiran,BojaVida,6/11/2020,7/28/2021,ERR12541411,ERR12541313,none,ERR12541482,ERR12541384,none,45.54875,13.5507,22,22,run 1
ARMS_GulfOfPiran_Fornace_20180815_20181118_MF100_DMSO,SVN,GulfOfPiran,Fornace,8/15/2018,11/18/2018,ERR7127578,ERR7127574,none,ERR7125582,ERR7125581,none,45.5188,13.5673,9,9,run 1
ARMS_GulfOfPiran_Fornace_20180815_20181118_MF100_ETOH,SVN,GulfOfPiran,Fornace,8/15/2018,11/18/2018,ERR7127579,ERR7127575,none,ERR7125582,ERR7125581,none,45.5188,13.5673,9,9,run 1
ARMS_GulfOfPiran_Fornace_20180815_20181118_MF500_DMSO,SVN,GulfOfPiran,Fornace,8/15/2018,11/18/2018,ERR4018549,ERR4605229,ERR4018547,ERR3460471,ERR4605902,ERR4018475,45.5188,13.5673,9,9,run 1
ARMS_GulfOfPiran_Fornace_20180815_20181118_MF500_ETOH,SVN,GulfOfPiran,Fornace,8/15/2018,11/18/2018,ERR12541473,ERR12541375,none,ERR12541481,ERR12541383,none,45.5188,13.5673,9,9,run 2  
ARMS_GulfOfPiran_Fornace_20180815_20181118_MF500_ETOH,SVN,GulfOfPiran,Fornace,8/15/2018,11/18/2018,none,ERR4605230,ERR4018548,none,ERR4605902,ERR4018475,45.5188,13.5673,9,9,run 1
ARMS_GulfOfPiran_Fornace_20180815_20181118_SF_DMSO,SVN,GulfOfPiran,Fornace,8/15/2018,11/18/2018,ERR7127580,ERR7127576,none,ERR7125582,ERR7125581,none,45.5188,13.5673,9,9,run 1
ARMS_GulfOfPiran_Fornace_20180815_20181118_SF_ETOH,SVN,GulfOfPiran,Fornace,8/15/2018,11/18/2018,ERR12541472,ERR12541374,none,ERR12541481,ERR12541383,none,45.5188,13.5673,9,9,run 2  
ARMS_GulfOfPiran_Fornace_20180815_20181118_SF_ETOH,SVN,GulfOfPiran,Fornace,8/15/2018,11/18/2018,ERR7127581,ERR7127577 ,none,ERR7125582,ERR7125581,none,45.5188,13.5673,9,9,run 1
ARMS_GulfOfPiran_LukaKP_20210223_20210622_MF40_DMSO,SVN,GulfOfPiran,LukaKP,2/23/2021,6/22/2021,ERR12541412,ERR12541314,none,ERR12541482,ERR12541384,none,45.564856,13.743586,3,3,run 1
ARMS_GulfOfPiran_LukaKP_20210223_20210622_SF40_DMSO,SVN,GulfOfPiran,LukaKP,2/23/2021,6/22/2021,ERR12541413,ERR12541315,none,ERR12541482,ERR12541384,none,45.564856,13.743586,3,3,run 1
ARMS_GulfOfPiran_LukaKP_20210622_20211027_MF40_DMSO,SVN,GulfOfPiran,LukaKP,6/22/2021,10/27/2021,ERR12541414,ERR12541316,none,ERR12541482,ERR12541384,none,45.564856,13.743586,3,3,run 1
ARMS_GulfOfPiran_LukaKP_20210622_20211027_SF100_DMSO,SVN,GulfOfPiran,LukaKP,6/22/2021,10/27/2021,none,none,none,none,none,none,45.564856,13.743586,3,3,run 1
ARMS_GulfOfPiran_LukaKP_20210622_20211027_SF40_DMSO,SVN,GulfOfPiran,LukaKP,6/22/2021,10/27/2021,ERR12541415,ERR12541317,none,ERR12541482,ERR12541384,none,45.564856,13.743586,3,3,run 1
ARMS_Koster_VH1_20180418_20190527_MF100_DMSO,SWE,Koster,VH1,4/18/2018,5/27/2019,ERR4018467,ERR4018457,ERR4018462,ERR4018471,ERR4018472,ERR4018473,58.875155,11.103194,24,24,run 1
ARMS_Koster_VH1_20180418_20190527_MF500_DMSO,SWE,Koster,VH1,4/18/2018,5/27/2019,ERR4018466,ERR4018456,ERR4018461,ERR4018471,ERR4018472,ERR4018473,58.875155,11.103194,24,24,run 1
ARMS_Koster_VH1_20180418_20190527_SF40_DMSO,SWE,Koster,VH1,4/18/2018,5/27/2019,ERR4018468,ERR4018458,ERR4018463,ERR4018471,ERR4018472,ERR4018473,58.875155,11.103194,24,24,run 1
ARMS_Koster_VH1_20190527_20200716_MF100,SWE,Koster,VH1,5/27/2019,7/16/2020,ERR12541475,ERR12541377,none,ERR12541481,ERR12541383,none,58.875155,11.103194,24,24,run 2  
ARMS_Koster_VH1_20190527_20200716_MF100,SWE,Koster,VH1,5/27/2019,7/16/2020,ERR4914103,ERR4914045 ,ERR4914161,ERR4914160,ERR4914102,ERR4914218,58.875155,11.103194,24,24,run 1
ARMS_Koster_VH1_20190527_20200716_MF500,SWE,Koster,VH1,5/27/2019,7/16/2020,ERR12541476,ERR12541378,none,ERR12541481,ERR12541383,none,58.875155,11.103194,24,24,run 2  
ARMS_Koster_VH1_20190527_20200716_MF500,SWE,Koster,VH1,5/27/2019,7/16/2020,ERR4914104,ERR4914046 ,ERR4914162,ERR4914160,ERR4914102,ERR4914218,58.875155,11.103194,24,24,run 1
ARMS_Koster_VH1_20190527_20200716_SF40,SWE,Koster,VH1,5/27/2019,7/16/2020,ERR4914105,ERR4914047,ERR4914163,ERR4914160,ERR4914102,ERR4914218,58.875155,11.103194,24,24,run 1
ARMS_Koster_VH1_20200716_20210608_MF100,SWE,Koster,VH1,7/16/2020,6/8/2021,ERR12541416,ERR12541318,none,ERR12541482,ERR12541384,none,58.875155,11.103194,24,24,run 1
ARMS_Koster_VH1_20200716_20210608_MF500,SWE,Koster,VH1,7/16/2020,6/8/2021,ERR12541417,ERR12541319,none,ERR12541482,ERR12541384,none,58.875155,11.103194,24,24,run 1
ARMS_Koster_VH1_20200716_20210608_SF40,SWE,Koster,VH1,7/16/2020,6/8/2021,ERR12541418,ERR12541320,none,ERR12541482,ERR12541384,none,58.875155,11.103194,24,24,run 1
ARMS_Koster_VH2_20180418_20180906_MF100_ETOH,SWE,Koster,VH2,4/18/2018,9/6/2018,ERR4018452,ERR4605233,ERR4018445,ERR3460471,ERR4605902,ERR4018475,58.87633,11.111884,22,22,run 1
ARMS_Koster_VH2_20180418_20180906_MF500_ETOH,SWE,Koster,VH2,4/18/2018,9/6/2018,ERR4018453,ERR4605234,ERR4018446,ERR3460471,ERR4605902,ERR4018475,58.87633,11.111884,22,22,run 1
ARMS_Koster_VH2_20180418_20180906_PS90_ETOH,SWE,Koster,VH2,4/18/2018,9/6/2018,ERR12541477,ERR12541379,none,ERR12541481,ERR12541383,none,58.87633,11.111884,22,22,run 2  
ARMS_Koster_VH2_20180418_20180906_PS90_ETOH,SWE,Koster,VH2,4/18/2018,9/6/2018,none,ERR4605237,ERR4018449,none,ERR4605902,ERR4018475,58.87633,11.111884,22,22,run 1
ARMS_Koster_VH2_20180418_20180906_SED100_DMSO,SWE,Koster,VH2,4/18/2018,9/6/2018,ERR4018454,ERR4605235,ERR4018447,ERR3460471,ERR4605902,ERR4018475,58.87633,11.111884,22,22,run 1
ARMS_Koster_VH2_20180418_20180906_SED500_DMSO,SWE,Koster,VH2,4/18/2018,9/6/2018,ERR4018455,ERR4605236,ERR4018448,ERR3460471,ERR4605902,ERR4018475,58.87633,11.111884,22,22,run 1
ARMS_Koster_VH2_20180418_20180906_SF40_DMSO,SWE,Koster,VH2,4/18/2018,9/6/2018,ERR4018451,ERR4605232,ERR4018444,ERR3460471,ERR4605902,ERR4018475,58.87633,11.111884,22,22,run 1
ARMS_Koster_VH2_20180418_20180906_SF40_ETOH,SWE,Koster,VH2,4/18/2018,9/6/2018,ERR4018450,ERR4605231,ERR4018443,ERR3460471,ERR4605902,ERR4018475,58.87633,11.111884,22,22,run 1
ARMS_Koster_VH2_20190527_20200716_MF100,SWE,Koster,VH2,5/27/2019,7/16/2020,ERR4914109,ERR4914051,ERR4914167,ERR4914160,ERR4914102,ERR4914218,58.87633,11.111884,22,22,run 1
ARMS_Koster_VH2_20190527_20200716_MF500,SWE,Koster,VH2,5/27/2019,7/16/2020,ERR4914110,ERR4914052,ERR4914168,ERR4914160,ERR4914102,ERR4914218,58.87633,11.111884,22,22,run 1
ARMS_Koster_VH2_20190527_20200716_SF40,SWE,Koster,VH2,5/27/2019,7/16/2020,ERR4914111,ERR4914053,ERR4914169,ERR4914160,ERR4914102,ERR4914218,58.87633,11.111884,22,22,run 1
ARMS_Koster_VH2_20200716_20210608_MF100,SWE,Koster,VH2,7/16/2020,6/8/2021,ERR12541419,ERR12541321,none,ERR12541482,ERR12541384,none,58.87633,11.111884,22,22,run 1
ARMS_Koster_VH2_20200716_20210608_MF500,SWE,Koster,VH2,7/16/2020,6/8/2021,ERR12541420,ERR12541322,none,ERR12541482,ERR12541384,none,58.87633,11.111884,22,22,run 1
ARMS_Koster_VH2_20200716_20210608_SF40,SWE,Koster,VH2,7/16/2020,6/8/2021,ERR12541421,ERR12541323,none,ERR12541482,ERR12541384,none,58.87633,11.111884,22,22,run 1
ARMS_Koster_VH3_20180418_20190527_MF100_DMSO,SWE,Koster,VH3,4/18/2018,5/27/2019,ERR4018470,ERR4018460,ERR4018465,ERR4018471,ERR4018472,ERR4018473,58.859877,11.080491,25,25,run 1
ARMS_Koster_VH3_20180418_20190527_MF500_DMSO,SWE,Koster,VH3,4/18/2018,5/27/2019,ERR4018469,ERR4018459,ERR4018464,ERR4018471,ERR4018472,ERR4018473,58.859877,11.080491,25,25,run 1
ARMS_Koster_VH3_20180418_20190527_SF40_DMSO,SWE,Koster,VH3,4/18/2018,5/27/2019,ERR7127610,ERR7127609,none,ERR7125582,ERR7125581,none,58.859877,11.080491,25,25,run 1
ARMS_Koster_VH3_20190527_20200716_MF100,SWE,Koster,VH3,5/27/2019,7/16/2020,ERR4914106,ERR4914048,ERR4914164,ERR4914160,ERR4914102,ERR4914218,58.859877,11.080491,25,25,run 1
ARMS_Koster_VH3_20190527_20200716_MF500,SWE,Koster,VH3,5/27/2019,7/16/2020,ERR4914107,ERR4914049,ERR4914165,ERR4914160,ERR4914102,ERR4914218,58.859877,11.080491,25,25,run 1
ARMS_Koster_VH3_20190527_20200716_SF40,SWE,Koster,VH3,5/27/2019,7/16/2020,ERR4914108,ERR4914050,ERR4914166,ERR4914160,ERR4914102,ERR4914218,58.859877,11.080491,25,25,run 1
ARMS_Koster_VH3_20200716_20210608_MF100,SWE,Koster,VH3,7/16/2020,6/8/2021,ERR12541422,ERR12541324,none,ERR12541482,ERR12541384,none,58.859877,11.080491,25,25,run 1
ARMS_Koster_VH3_20200716_20210608_MF500,SWE,Koster,VH3,7/16/2020,6/8/2021,ERR12541423,ERR12541325,none,ERR12541482,ERR12541384,none,58.859877,11.080491,25,25,run 1
ARMS_Koster_VH3_20200716_20210608_SF40,SWE,Koster,VH3,7/16/2020,6/8/2021,ERR12541424,ERR12541326,none,ERR12541482,ERR12541384,none,58.859877,11.080491,25,25,run 1
ARMS_Laeso_Laeso1_20190819_20200811_MF100,DNK,Laeso,Laeso1,8/19/2019,8/11/2020,ERR7127583,ERR7127582,ERR7127584,ERR7125534,ERR7125533,ERR7125535,57.25689,11.14193,10,10,run 1
ARMS_Laeso_Laeso1_20190819_20200811_MF500,DNK,Laeso,Laeso1,8/19/2019,8/11/2020,ERR7127586,ERR7127585,ERR7127587,ERR7125534,ERR7125533,ERR7125535,57.25689,11.14193,10,10,run 1
ARMS_Laeso_Laeso1_20190819_20200811_SF40,DNK,Laeso,Laeso1,8/19/2019,8/11/2020,ERR7127589,ERR7127588,ERR7127590,ERR7125534,ERR7125533,ERR7125535,57.25689,11.14193,10,10,run 1
ARMS_Laeso_Laeso2_20190819_20200811_MF100,DNK,Laeso,Laeso2,8/19/2019,8/11/2020,ERR7127592,ERR7127591,ERR7127593,ERR7125534,ERR7125533,ERR7125535,57.25692,11.14197,10,10,run 1
ARMS_Laeso_Laeso2_20190819_20200811_MF500,DNK,Laeso,Laeso2,8/19/2019,8/11/2020,ERR7127607,ERR7127606,none,ERR7125582,ERR7125581,none,57.25692,11.14197,10,10,run 1
ARMS_Laeso_Laeso2_20190819_20200811_SF40,DNK,Laeso,Laeso2,8/19/2019,8/11/2020,ERR7127595,ERR7127594,ERR7127596,ERR7125534,ERR7125533,ERR7125535,57.25692,11.14197,10,10,run 1
ARMS_Laeso_Laeso3_20190819_20200811_MF100,DNK,Laeso,Laeso3,8/19/2019,8/11/2020,ERR7127598,ERR7127597,ERR7127599,ERR7125534,ERR7125533,ERR7125535,57.25692,11.14199,10,10,run 1
ARMS_Laeso_Laeso3_20190819_20200811_MF500,DNK,Laeso,Laeso3,8/19/2019,8/11/2020,ERR7127601,ERR7127600,ERR7127602,ERR7125534,ERR7125533,ERR7125535,57.25692,11.14199,10,10,run 1
ARMS_Laeso_Laeso3_20190819_20200811_SF40,DNK,Laeso,Laeso3,8/19/2019,8/11/2020,ERR7127604,ERR7127603,ERR7127605,ERR7125534,ERR7125533,ERR7125535,57.25692,11.14199,10,10,run 1
ARMS_Limfjord_Green33_20190618_20191029_MF100,DNK,Limfjord,Green33,6/18/2019,10/29/2019,ERR4018499,ERR4018481,ERR4018490,ERR4018471,ERR4018472,ERR4018473,56.90155,9.05516667,4,4,run 1
ARMS_Limfjord_Green33_20190618_20191029_MF500,DNK,Limfjord,Green33,6/18/2019,10/29/2019,ERR4018497,ERR4018479,ERR4018488,ERR4018471,ERR4018472,ERR4018473,56.90155,9.05516667,4,4,run 1
ARMS_Limfjord_Green33_20190618_20191029_SF40,DNK,Limfjord,Green33,6/18/2019,10/29/2019,ERR4018498,ERR4018480,ERR4018489,ERR4018471,ERR4018472,ERR4018473,56.90155,9.05516667,4,4,run 1
ARMS_Limfjord_Green33_20191029_20201110_MF100,DNK,Limfjord,Green33,10/29/2019,11/10/2020,ERR9632096,ERR9632081,none,ERR9632065,ERR9632062,none,56.90155,9.05516667,4,4,run 1
ARMS_Limfjord_Green33_20191029_20201110_MF500,DNK,Limfjord,Green33,10/29/2019,11/10/2020,ERR9632097,ERR9632082,none,ERR9632065,ERR9632062,none,56.90155,9.05516667,4,4,run 1
ARMS_Limfjord_Green33_20191029_20201110_SF40,DNK,Limfjord,Green33,10/29/2019,11/10/2020,ERR9632098,ERR9632083,none,ERR9632065,ERR9632062,none,56.90155,9.05516667,4,4,run 1
ARMS_Limfjord_Green33_20201110_20211115_MF100,DNK,Limfjord,Green33,11/10/2020,11/15/2021,ERR12541425,ERR12541327,none,ERR12541482,ERR12541384,none,56.90155,9.05516667,4,4,run 1
ARMS_Limfjord_Green33_20201110_20211115_MF500,DNK,Limfjord,Green33,11/10/2020,11/15/2021,ERR12541426,ERR12541328,none,ERR12541482,ERR12541384,none,56.90155,9.05516667,4,4,run 1
ARMS_Limfjord_Green33_20201110_20211115_SF40,DNK,Limfjord,Green33,11/10/2020,11/15/2021,ERR12541427,ERR12541329,none,ERR12541482,ERR12541384,none,56.90155,9.05516667,4,4,run 1
ARMS_Limfjord_Red2_20190618_20191029_MF100,DNK,Limfjord,Red2,6/18/2019,10/29/2019,ERR4018502,ERR4018484,ERR4018493,ERR4018471,ERR4018472,ERR4018473,56.89985,9.05663333,4,4,run 1
ARMS_Limfjord_Red2_20190618_20191029_MF500,DNK,Limfjord,Red2,6/18/2019,10/29/2019,ERR4018500,ERR4018482,ERR4018491,ERR4018471,ERR4018472,ERR4018473,56.89985,9.05663333,4,4,run 1
ARMS_Limfjord_Red2_20190618_20191029_SF40,DNK,Limfjord,Red2,6/18/2019,10/29/2019,ERR4018501,ERR4018483,ERR4018492,ERR4018471,ERR4018472,ERR4018473,56.89985,9.05663333,4,4,run 1
ARMS_Limfjord_Red2_20191029_20201110_MF100,DNK,Limfjord,Red2,10/29/2019,11/10/2020,ERR9632099,ERR9632084,none,ERR9632065,ERR9632062,none,56.89985,9.05663333,4,4,run 1
ARMS_Limfjord_Red2_20191029_20201110_MF500,DNK,Limfjord,Red2,10/29/2019,11/10/2020,ERR9632100,ERR9632085,none,ERR9632065,ERR9632062,none,56.89985,9.05663333,4,4,run 1
ARMS_Limfjord_Red2_20191029_20201110_SF40,DNK,Limfjord,Red2,10/29/2019,11/10/2020,ERR9632101,ERR9632086,none,ERR9632065,ERR9632062,none,56.89985,9.05663333,4,4,run 1
ARMS_Limfjord_Red2_20201110_20211115_MF100,DNK,Limfjord,Red2,11/10/2020,11/15/2021,ERR12541431,ERR12541333,none,ERR12541482,ERR12541384,none,56.89985,9.05663333,4,4,run 1
ARMS_Limfjord_Red2_20201110_20211115_MF500,DNK,Limfjord,Red2,11/10/2020,11/15/2021,ERR12541432,ERR12541334,none,ERR12541482,ERR12541384,none,56.89985,9.05663333,4,4,run 1
ARMS_Limfjord_Red2_20201110_20211115_SF40,DNK,Limfjord,Red2,11/10/2020,11/15/2021,ERR12541433,ERR12541335,none,ERR12541482,ERR12541384,none,56.89985,9.05663333,4,4,run 1
ARMS_Limfjord_Yellow8_20190618_20191029_MF100,DNK,Limfjord,Yellow8,6/18/2019,10/29/2019,ERR4018496,ERR4018478,ERR4018487,ERR4018471,ERR4018472,ERR4018473,56.90131667,9.05733333,3.5,3.5,run 1
ARMS_Limfjord_Yellow8_20190618_20191029_MF500,DNK,Limfjord,Yellow8,6/18/2019,10/29/2019,ERR4018494,ERR4018476,ERR4018485,ERR4018471,ERR4018472,ERR4018473,56.90131667,9.05733333,3.5,3.5,run 1
ARMS_Limfjord_Yellow8_20190618_20191029_SF40,DNK,Limfjord,Yellow8,6/18/2019,10/29/2019,ERR4018495,ERR4018477,ERR4018486,ERR4018471,ERR4018472,ERR4018473,56.90131667,9.05733333,3.5,3.5,run 1
ARMS_Limfjord_Yellow8_20201110_20211115_MF100,DNK,Limfjord,Yellow8,11/10/2020,11/15/2021,ERR12541428,ERR12541330,none,ERR12541482,ERR12541384,none,56.90131667,9.05733333,3.5,3.5,run 1
ARMS_Limfjord_Yellow8_20201110_20211115_MF500,DNK,Limfjord,Yellow8,11/10/2020,11/15/2021,ERR12541429,ERR12541331,none,ERR12541482,ERR12541384,none,56.90131667,9.05733333,3.5,3.5,run 1
ARMS_Limfjord_Yellow8_20201110_20211115_SF40,DNK,Limfjord,Yellow8,11/10/2020,11/15/2021,ERR12541430,ERR12541332,none,ERR12541482,ERR12541384,none,56.90131667,9.05733333,3.5,3.5,run 1
ARMS_Plymouth_MBA1A_20190716_20190916_MF100,GBR,Plymouth,MBA1,7/1/2018,10/1/2018,ERR4018670,ERR4018652,ERR4018661,ERR4018471,ERR4018472,ERR4018473,50.3674,-4.1552,1,1,run 1
ARMS_Plymouth_MBA1A_20190716_20190916_MF500,GBR,Plymouth,MBA1,7/1/2018,10/1/2018,ERR4018669,ERR4018651,ERR4018660,ERR4018471,ERR4018472,ERR4018473,50.3674,-4.1552,1,1,run 1
ARMS_Plymouth_MBA1A_20190716_20190916_SF40,GBR,Plymouth,MBA1,7/1/2018,10/1/2018,ERR4018671,ERR4018653,ERR4018662,ERR4018471,ERR4018472,ERR4018473,50.3674,-4.1552,1,1,run 1
ARMS_Plymouth_MBA1A_20200717_20200921_MF100,GBR,Plymouth,MBA1,7/1/2018,10/1/2018,ERR12541434,ERR12541336,none,ERR12541482,ERR12541384,none,50.3674,-4.1552,1,1,run 1
ARMS_Plymouth_MBA1A_20200717_20200921_MF500,GBR,Plymouth,MBA1,7/1/2018,10/1/2018,ERR12541435,ERR12541337,none,ERR12541482,ERR12541384,none,50.3674,-4.1552,1,1,run 1
ARMS_Plymouth_MBA1A_20200717_20200921_SF40,GBR,Plymouth,MBA1,7/1/2018,10/1/2018,ERR12541436,ERR12541338,none,ERR12541482,ERR12541384,none,50.3674,-4.1552,1,1,run 1
ARMS_Plymouth_MBA1B_20190716_20190918_MF100,GBR,Plymouth,MBA1A,7/16/2019,9/16/2019,ERR4018673,ERR4018655,ERR4018664,ERR4018471,ERR4018472,ERR4018473,50.3673,-4.1554,2,2,run 1
ARMS_Plymouth_MBA1B_20190716_20190918_MF500,GBR,Plymouth,MBA1A,7/16/2019,9/16/2019,ERR4018672,ERR4018654,ERR4018663,ERR4018471,ERR4018472,ERR4018473,50.3673,-4.1554,2,2,run 1
ARMS_Plymouth_MBA1B_20190716_20190918_SF40,GBR,Plymouth,MBA1A,7/16/2019,9/16/2019,ERR4018674,ERR4018656,ERR4018665,ERR4018471,ERR4018472,ERR4018473,50.3673,-4.1554,2,2,run 1
ARMS_Plymouth_MBA1B_20200717_20200922_MF100,GBR,Plymouth,MBA1A,7/17/2020,9/21/2020,ERR12541437,ERR12541339,none,ERR12541482,ERR12541384,none,50.3673,-4.1554,2,2,run 1
ARMS_Plymouth_MBA1B_20200717_20200922_MF500,GBR,Plymouth,MBA1A,7/17/2020,9/21/2020,ERR12541438,ERR12541340,none,ERR12541482,ERR12541384,none,50.3673,-4.1554,2,2,run 1
ARMS_Plymouth_MBA1B_20200717_20200922_SF40,GBR,Plymouth,MBA1A,7/17/2020,9/21/2020,ERR12541439,ERR12541341,none,ERR12541482,ERR12541384,none,50.3673,-4.1554,2,2,run 1
ARMS_Plymouth_MBA1C_20190716_20190920_MF100,GBR,Plymouth,MBA1B,7/16/2019,9/18/2019,ERR4018676,ERR4018658,ERR4018667,ERR4018471,ERR4018472,ERR4018473,50.3668,-4.1561,2,2,run 1
ARMS_Plymouth_MBA1C_20190716_20190920_MF500,GBR,Plymouth,MBA1B,7/16/2019,9/18/2019,ERR4018675,ERR4018657,ERR4018666,ERR4018471,ERR4018472,ERR4018473,50.3668,-4.1561,2,2,run 1
ARMS_Plymouth_MBA1C_20190716_20190920_SF40,GBR,Plymouth,MBA1B,7/16/2019,9/18/2019,ERR4018677,ERR4018659,ERR4018668,ERR4018471,ERR4018472,ERR4018473,50.3668,-4.1561,2,2,run 1
ARMS_Plymouth_MBA1C_20200717_20200923_MF100,GBR,Plymouth,MBA1B,7/17/2020,9/22/2020,ERR12541440,ERR12541342,none,ERR12541482,ERR12541384,none,50.3668,-4.1561,2,2,run 1
ARMS_Plymouth_MBA1C_20200717_20200923_MF500,GBR,Plymouth,MBA1B,7/17/2020,9/22/2020,ERR12541441,ERR12541343,none,ERR12541482,ERR12541384,none,50.3668,-4.1561,2,2,run 1
ARMS_Plymouth_MBA1C_20200717_20200923_SF40,GBR,Plymouth,MBA1B,7/17/2020,9/22/2020,ERR12541442,ERR12541344,none,ERR12541482,ERR12541384,none,50.3668,-4.1561,2,2,run 1
ARMS_Plymouth_MBA1_20180701_20181001_MF100_DMSO,GBR,Plymouth,MBA1C,7/16/2019,9/20/2019,ERR7125591,ERR7125583,none,ERR7125582,ERR7125581,none,50.3674,-4.1544,2,2,run 1
ARMS_Plymouth_MBA1_20180701_20181001_MF100_ETOH,GBR,Plymouth,MBA1C,7/16/2019,9/20/2019,ERR7125592,ERR7125584,none,ERR7125582,ERR7125581,none,50.3674,-4.1544,2,2,run 1
ARMS_Plymouth_MBA1_20180701_20181001_MF500_DMSO,GBR,Plymouth,MBA1C,7/16/2019,9/20/2019,ERR7125593,ERR7125585,none,ERR7125582,ERR7125581,none,50.3674,-4.1544,2,2,run 1
ARMS_Plymouth_MBA1_20180701_20181001_MF500_ETOH,GBR,Plymouth,MBA1C,7/17/2020,9/23/2020,ERR7125594,ERR7125586,none,ERR7125582,ERR7125581,none,50.3674,-4.1544,2,2,run 1
ARMS_Plymouth_MBA1_20180701_20181001_SF40_DMSO,GBR,Plymouth,MBA1C,7/17/2020,9/23/2020,ERR7125595,ERR7125587,none,ERR7125582,ERR7125581,none,50.3674,-4.1544,2,2,run 1
ARMS_Plymouth_MBA1_20180701_20181001_SF40_ETOH,GBR,Plymouth,MBA1C,7/17/2020,9/23/2020,ERR7125596,ERR7125588,none,ERR7125582,ERR7125581,none,50.3674,-4.1544,2,2,run 1
ARMS_Plymouth_MBA2_20180701_20181001_MF100_DMSO,GBR,Plymouth,MBA2,7/1/2018,10/1/2018,none,ERR4605220,ERR4018647,none,ERR4605902,ERR4018475,50.350134,-4.159167,10.1,10.1,run 1
ARMS_Plymouth_MBA2_20180701_20181001_MF100_DMSO,GBR,Plymouth,MBA2,7/1/2018,10/1/2018,none,none,none,none,none,none,50.350134,-4.159167,10.1,10.1,run 2  
ARMS_Plymouth_MBA2_20180701_20181001_MF100_ETOH,GBR,Plymouth,MBA2,7/1/2018,10/1/2018,none,ERR4605221,ERR4018648,none,ERR4605902,ERR4018475,50.350134,-4.159167,10.1,10.1,run 1
ARMS_Plymouth_MBA2_20180701_20181001_MF100_ETOH,GBR,Plymouth,MBA2,7/1/2018,10/1/2018,none,none,none,none,none,none,50.350134,-4.159167,10.1,10.1,run 2  
ARMS_Plymouth_MBA2_20180701_20181001_MF500_ETOH,GBR,Plymouth,MBA2,7/1/2018,10/1/2018,ERR4018650,ERR4605222,ERR4018649,ERR4018737,ERR4605902,ERR4018475,50.350134,-4.159167,10.1,10.1,run 1
ARMS_Plymouth_MBA2_20180701_20181001_SF40_DMSO,GBR,Plymouth,MBA2,7/1/2018,10/1/2018,ERR7125597,ERR7125589,none,ERR7125582,ERR7125581,none,50.350134,-4.159167,10.1,10.1,run 1
ARMS_Plymouth_MBA2_20180701_20181001_SF40_ETOH,GBR,Plymouth,MBA2,7/1/2018,10/1/2018,ERR7125598,ERR7125590,none,ERR7125582,ERR7125581,none,50.350134,-4.159167,10.1,10.1,run 1
ARMS_RavHarbour_RavH1_20210422_20210722_MF100,ITA,RavHarbour,RAVH,4/22/2021,7/22/2021,ERR12541443,ERR12541345,none,ERR12541482,ERR12541384,none,44.421488,12.209497,1.5,1.5,run 1
ARMS_RavHarbour_RavH1_20210422_20210722_MF500,ITA,RavHarbour,RAVH,4/22/2021,7/22/2021,ERR12541444,ERR12541346,none,ERR12541482,ERR12541384,none,44.421488,12.209497,1.5,1.5,run 1
ARMS_RavHarbour_RavH1_20210422_20210722_SF40,ITA,RavHarbour,RAVH,4/22/2021,7/22/2021,ERR12541445,ERR12541347,none,ERR12541482,ERR12541384,none,44.421488,12.209497,1.5,1.5,run 1
ARMS_RavHarbour_RavH2_20210422_20210722_MF100,ITA,RavHarbour,RAVH,4/22/2021,7/22/2021,ERR12541446,ERR12541348,none,ERR12541482,ERR12541384,none,44.421488,12.209497,1.5,1.5,run 1
ARMS_RavHarbour_RavH2_20210422_20210722_MF500,ITA,RavHarbour,RAVH,4/22/2021,7/22/2021,ERR12541447,ERR12541349,none,ERR12541482,ERR12541384,none,44.421488,12.209497,1.5,1.5,run 1
ARMS_RavHarbour_RavH2_20210422_20210722_SF40,ITA,RavHarbour,RAVH,4/22/2021,7/22/2021,ERR12541448,ERR12541350,none,ERR12541482,ERR12541384,none,44.421488,12.209497,1.5,1.5,run 1
