Sample_ID,Country,Observatory_ID,ARMS_ID,Deploy_Date,Collect_Date,gene_COI,gene_18S,gene_ITS,negativeControl_gene_COI,negativeControl_gene_18S,negativeControl_gene_ITS,AccessRights,latitude,longitude,depth,Fraction,Preservative,Filter
ARMS_Limfjord_Red2_190618_191029_MF100_DMSO,Denmark,Limfjord,Red2,2019-06-18,2019-10-29,ERR4018502,ERR4018484,ERR4018493,ERR4018471,ERR4018472,ERR4018473,CC BY,56.89985,9.05663333,4,Motile,DMSO,100
ARMS_Limfjord_Red2_190618_191029_MF500_DMSO,Denmark,Limfjord,Red2,2019-06-18,2019-10-29,ERR4018500,ERR4018482,ERR4018491,ERR4018471,ERR4018472,ERR4018473,CC BY,56.89985,9.05663333,4,Motile,DMSO,500
ARMS_Limfjord_Red2_190618_191029_SF40_DMSO,Denmark,Limfjord,Red2,2019-06-18,2019-10-29,ERR4018501,ERR4018483,ERR4018492,ERR4018471,ERR4018472,ERR4018473,CC BY,56.89985,9.05663333,4,Sessile,DMSO,40
ARMS_Limfjord_Yellow8_190618_191029_MF100_DMSO,Denmark,Limfjord,Yellow8,2019-06-18,2019-10-29,ERR4018496,ERR4018478,ERR4018487,ERR4018471,ERR4018472,ERR4018473,CC BY,56.902366,9.055797,4,Motile,DMSO,100
ARMS_Limfjord_Yellow8_190618_191029_MF500_DMSO,Denmark,Limfjord,Yellow8,2019-06-18,2019-10-29,ERR4018494,ERR4018476,ERR4018485,ERR4018471,ERR4018472,ERR4018473,CC BY,56.902366,9.055797,4,Motile,DMSO,500
ARMS_Limfjord_Yellow8_190618_191029_SF40_DMSO,Denmark,Limfjord,Yellow8,2019-06-18,2019-10-29,ERR4018495,ERR4018477,ERR4018486,ERR4018471,ERR4018472,ERR4018473,CC BY,56.902366,9.055797,4,Sessile,DMSO,40
ARMS_Plymouth_MBA1_180701_181001_MF100_DMSO,UK,Plymouth,MBA1,2018-07-01,2018-10-01,ERR7125591,ERR7125583,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,50.3674,-4.1552,1,Motile,DMSO,100
ARMS_Plymouth_MBA1_180701_181001_MF100_EtOH,UK,Plymouth,MBA1,2018-07-01,2018-10-01,ERR7125592,ERR7125584,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,50.3674,-4.1552,1,Motile,EtOH,100
ARMS_Plymouth_MBA1_180701_181001_MF500_DMSO,UK,Plymouth,MBA1,2018-07-01,2018-10-01,ERR7125593,ERR7125585,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,50.3674,-4.1552,1,Motile,DMSO,500
ARMS_Plymouth_MBA1_180701_181001_MF500_EtOH,UK,Plymouth,MBA1,2018-07-01,2018-10-01,ERR7125594,ERR7125586,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,50.3674,-4.1552,1,Motile,EtOH,500
ARMS_Plymouth_MBA1_180701_181001_SF40_DMSO,UK,Plymouth,MBA1,2018-07-01,2018-10-01,ERR7125595,ERR7125587,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,50.3674,-4.1552,1,Sessile,DMSO,40
ARMS_Plymouth_MBA1_180701_181001_SF40_EtOH,UK,Plymouth,MBA1,2018-07-01,2018-10-01,ERR7125596,ERR7125588,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,50.3674,-4.1552,1,Sessile,EtOH,40
ARMS_Plymouth_MBA1A_190716_190916_MF100_DMSO,UK,Plymouth,MBA1A,2019-07-16,2019-09-16,ERR4018670,ERR4018652,ERR4018661,ERR4018471,ERR4018472,ERR4018473,CC BY,50.3673,-4.1554,2,Motile,DMSO,100
ARMS_Plymouth_MBA1A_190716_190916_MF500_DMSO,UK,Plymouth,MBA1A,2019-07-16,2019-09-16,ERR4018669,ERR4018651,ERR4018660,ERR4018471,ERR4018472,ERR4018473,CC BY,50.3673,-4.1554,2,Motile,DMSO,500
ARMS_Plymouth_MBA1A_190716_190916_SF40_DMSO,UK,Plymouth,MBA1A,2019-07-16,2019-09-16,ERR4018671,ERR4018653,ERR4018662,ERR4018471,ERR4018472,ERR4018473,CC BY,50.3673,-4.1554,2,Sessile,DMSO,40
ARMS_Plymouth_MBA1B_190716_190918_MF100_DMSO,UK,Plymouth,MBA1B,2019-07-16,2019-09-18,ERR4018673,ERR4018655,ERR4018664,ERR4018471,ERR4018472,ERR4018473,CC BY,50.3668,-4.1561,2,Motile,DMSO,100
ARMS_Plymouth_MBA1B_190716_190918_MF500_DMSO,UK,Plymouth,MBA1B,2019-07-16,2019-09-18,ERR4018672,ERR4018654,ERR4018663,ERR4018471,ERR4018472,ERR4018473,CC BY,50.3668,-4.1561,2,Motile,DMSO,500
ARMS_Plymouth_MBA1B_190716_190918_SF40_DMSO,UK,Plymouth,MBA1B,2019-07-16,2019-09-18,ERR4018674,ERR4018656,ERR4018665,ERR4018471,ERR4018472,ERR4018473,CC BY,50.3668,-4.1561,2,Sessile,DMSO,40
ARMS_Plymouth_MBA1C_190716_190920_MF100_DMSO,UK,Plymouth,MBA1C,2019-07-16,2019-09-20,ERR4018676,ERR4018658,ERR4018667,ERR4018471,ERR4018472,ERR4018473,CC BY,50.3674,-4.1544,2,Motile,DMSO,100
ARMS_Plymouth_MBA1C_190716_190920_MF500_DMSO,UK,Plymouth,MBA1C,2019-07-16,2019-09-20,ERR4018675,ERR4018657,ERR4018666,ERR4018471,ERR4018472,ERR4018473,CC BY,50.3674,-4.1544,2,Motile,DMSO,500
ARMS_Plymouth_MBA1C_190716_190920_SF40_DMSO,UK,Plymouth,MBA1C,2019-07-16,2019-09-20,ERR4018677,ERR4018659,ERR4018668,ERR4018471,ERR4018472,ERR4018473,CC BY,50.3674,-4.1544,2,Sessile,DMSO,40
ARMS_Plymouth_MBA2_180701_181001_MF100_DMSO,UK,Plymouth,MBA2,2018-07-01,2018-10-01,failed,ERR4605220,ERR4018647,failed,ERR4605902,ERR4018475,CC BY,50.350134,-4.159167,10,Motile,DMSO,100
ARMS_Plymouth_MBA2_180701_181001_MF100_EtOH,UK,Plymouth,MBA2,2018-07-01,2018-10-01,failed,ERR4605221,ERR4018648,failed,ERR4605902,ERR4018475,CC BY,50.350134,-4.159167,10,Motile,EtOH,100
ARMS_Plymouth_MBA2_180701_181001_MF500_EtOH,UK,Plymouth,MBA2,2018-07-01,2018-10-01,ERR4018650,ERR4605222,ERR4018649,ERR4018737,ERR4605902,ERR4018475,CC BY,50.350134,-4.159167,10,Motile,EtOH,500
ARMS_Plymouth_MBA2_180701_181001_SF40_DMSO,UK,Plymouth,MBA2,2018-07-01,2018-10-01,ERR7125597,ERR7125589,"N/A (As discussed/decided, ITS sequencing has stopped)",ERR7125582,ERR7125581,"N/A (As discussed/decided, ITS sequencing has stopped)",CC BY,50.350134,-4.159167,10,Sessile,DMSO,40
ARMS_Plymouth_MBA2_180701_181001_SF40_EtOH,UK,Plymouth,MBA2,2018-07-01,2018-10-01,ERR7125598,ERR7125590,"N/A (As discussed/decided, ITS sequencing has stopped)",ERR7125582,ERR7125581,"N/A (As discussed/decided, ITS sequencing has stopped)",CC BY,50.350134,-4.159167,10,Sessile,EtOH,40
ARMS_Roscoff_BasBloS1_180711_181025_MF100_DMSO,France,Roscoff,BasBloS1,2018-07-11,2018-10-25,ERR7125631,ERR7125618,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,48.72872,-3.95894,12,Motile,DMSO,100
ARMS_Roscoff_BasBloS1_180711_181025_MF500_DMSO,France,Roscoff,BasBloS1,2018-07-11,2018-10-25,ERR7125632,ERR7125619,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,48.72872,-3.95894,12,Motile,DMSO,500
ARMS_Roscoff_BasBloS1_180711_181025_SF40_DMSO,France,Roscoff,BasBloS1,2018-07-11,2018-10-25,ERR4018616,ERR4605227,ERR4018614,ERR3460471,ERR4605902,ERR4018475,CC BY,48.72872,-3.95894,12,Sessile,DMSO,40
ARMS_Roscoff_BasBloS1_180711_181025_SF40_DMSO,France,Roscoff,BasBloS1,2018-07-11,2018-10-25,ERR7125633,ERR7125620,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,48.72872,-3.95894,12,Sessile,DMSO,40
ARMS_Roscoff_BasBloS1_180711_181025_SF40_EtOH,France,Roscoff,BasBloS1,2018-07-11,2018-10-25,ERR4018615,ERR4605226,ERR4018613,ERR3460471,ERR4605902,ERR4018475,CC BY,48.72872,-3.95894,12,Sessile,EtOH,40
ARMS_Roscoff_BasBloS1_180711_181025_SF40_EtOH,France,Roscoff,BasBloS1,2018-07-11,2018-10-25,ERR7125634,ERR7125621,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,48.72872,-3.95894,12,Sessile,EtOH,40
ARMS_Roscoff_BasBloS1_190612_200527_MF100_DMSO,France,Roscoff,BasBloS1,2019-06-12,2020-05-27,ERR7125635,ERR7125622,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,48.72872,-3.95894,12,Motile,DMSO,100
ARMS_Roscoff_BasBloS1_190612_200527_MF500_DMSO,France,Roscoff,BasBloS1,2019-06-12,2020-05-27,ERR7125636,ERR7125623,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,48.72872,-3.95894,12,Motile,DMSO,500
ARMS_Roscoff_BasBloS1_190612_200527_SF40_DMSO,France,Roscoff,BasBloS1,2019-06-12,2020-05-27,ERR7125601,ERR7125600,ERR7125602,ERR7125534,ERR7125533,ERR7125535,CC BY,48.72872,-3.95894,12,Sessile,DMSO,40
ARMS_Roscoff_BasBloS2_190612_200528_MF100_DMSO,France,Roscoff,BasBloS2,2019-06-12,2020-05-28,ERR7125604,ERR7125603,ERR7125605,ERR7125534,ERR7125533,ERR7125535,CC BY,48.72872,-3.95894,12,Motile,DMSO,100
ARMS_Roscoff_BasBloS2_190612_200528_MF500_DMSO,France,Roscoff,BasBloS2,2019-06-12,2020-05-28,ERR7125607,ERR7125606,ERR7125608,ERR7125534,ERR7125533,ERR7125535,CC BY,48.72872,-3.95894,12,Motile,DMSO,500
ARMS_Roscoff_BasBloS2_190612_200528_SF40_DMSO,France,Roscoff,BasBloS2,2019-06-12,2020-05-28,ERR7125637,ERR7125624,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,48.72872,-3.95894,12,Sessile,DMSO,40
ARMS_Roscoff_BasBloS3_190612_200529_MF100_DMSO,France,Roscoff,BasBloS3,2019-06-12,2020-05-29,ERR7125610,ERR7125609,ERR7125611,ERR7125534,ERR7125533,ERR7125535,CC BY,48.72872,-3.95894,12,Motile,DMSO,100
ARMS_Roscoff_BasBloS3_190612_200529_MF500_DMSO,France,Roscoff,BasBloS3,2019-06-12,2020-05-29,ERR7125613,ERR7125612,ERR7125614,ERR7125534,ERR7125533,ERR7125535,CC BY,48.72872,-3.95894,12,Motile,DMSO,500
ARMS_Roscoff_BasBloS3_190612_200529_SF40_DMSO,France,Roscoff,BasBloS3,2019-06-12,2020-05-29,ERR7125616,ERR7125615,ERR7125617,ERR7125534,ERR7125533,ERR7125535,CC BY,48.72872,-3.95894,12,Sessile,DMSO,40
ARMS_Roscoff_MarBloR1_180709_181024_MF100_DMSO,France,Roscoff,MarBloR1,2018-07-09,2018-10-24,ERR7125638,ERR7125625,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,48.71751,-3.96649,1,Motile,DMSO,100
ARMS_Roscoff_MarBloR1_180709_181024_MF100_EtOH,France,Roscoff,MarBloR1,2018-07-09,2018-10-24,ERR7125639,ERR7125626,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,48.71751,-3.96649,1,Motile,EtOH,100
ARMS_Roscoff_MarBloR1_180709_181024_MF500_DMSO,France,Roscoff,MarBloR1,2018-07-09,2018-10-24,ERR7125640,ERR7125627,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,48.71751,-3.96649,1,Motile,DMSO,500
ARMS_Roscoff_MarBloR1_180709_181024_MF500_EtOH,France,Roscoff,MarBloR1,2018-07-09,2018-10-24,ERR7125641,ERR7125628,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,48.71751,-3.96649,1,Motile,EtOH,500
ARMS_Roscoff_MarBloR1_180709_181024_SF40_DMSO,France,Roscoff,MarBloR1,2018-07-09,2018-10-24,ERR7125643,ERR7125629,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,48.71751,-3.96649,1,Sessile,DMSO,40
ARMS_Roscoff_MarBloR1_180709_181024_SF40_EtOH,France,Roscoff,MarBloR1,2018-07-09,2018-10-24,ERR7125643,ERR7125630,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,48.71751,-3.96649,1,Sessile,EtOH,40
ARMS_Roscoff_MarBloR1_190612_190916_MF100_DMSO,France,Roscoff,MarBloR1,2019-06-12,2019-09-16,ERR4018635,ERR4018617,ERR4018626,ERR4018471,ERR4018472,ERR4018473,CC BY,48.71751,-3.96649,1,Motile,DMSO,100
ARMS_Roscoff_MarBloR1_190612_190916_MF500_DMSO,France,Roscoff,MarBloR1,2019-06-12,2019-09-16,ERR4018636,ERR4018618,ERR4018627,ERR4018471,ERR4018472,ERR4018473,CC BY,48.71751,-3.96649,1,Motile,DMSO,500
ARMS_Roscoff_MarBloR1_190612_190916_SF40_DMSO,France,Roscoff,MarBloR1,2019-06-12,2019-09-16,ERR4018637,ERR4018619,ERR4018628,ERR4018471,ERR4018472,ERR4018473,CC BY,48.71751,-3.96649,1,Sessile,DMSO,40
ARMS_Roscoff_MarBloR2_190612_190917_MF100_DMSO,France,Roscoff,MarBloR2,2019-06-12,2019-09-17,ERR4018638,ERR4018620,ERR4018629,ERR4018471,ERR4018472,ERR4018473,CC BY,48.71751,-3.96649,1,Motile,DMSO,100
ARMS_Roscoff_MarBloR2_190612_190917_MF500_DMSO,France,Roscoff,MarBloR2,2019-06-12,2019-09-17,ERR4018639,ERR4018621,ERR4018630,ERR4018471,ERR4018472,ERR4018473,CC BY,48.71751,-3.96649,1,Motile,DMSO,500
ARMS_Roscoff_MarBloR2_190612_190917_SF40_DMSO,France,Roscoff,MarBloR2,2019-06-12,2019-09-17,ERR4018640,ERR4018622,ERR4018631,ERR4018471,ERR4018472,ERR4018473,CC BY,48.71751,-3.96649,1,Sessile,DMSO,40
ARMS_Roscoff_MarBloR3_190612_190918_MF100_DMSO,France,Roscoff,MarBloR3,2019-06-12,2019-09-18,ERR4018641,ERR4018623,ERR4018632,ERR4018471,ERR4018472,ERR4018473,CC BY,48.71751,-3.96649,1,Motile,DMSO,100
ARMS_Roscoff_MarBloR3_190612_190918_MF500_DMSO,France,Roscoff,MarBloR3,2019-06-12,2019-09-18,ERR4018642,ERR4018624,ERR4018633,ERR4018471,ERR4018472,ERR4018473,CC BY,48.71751,-3.96649,1,Motile,DMSO,500
ARMS_Roscoff_MarBloR3_190612_190918_SF40_DMSO,France,Roscoff,MarBloR3,2019-06-12,2019-09-18,ERR4018643,ERR4018625,ERR4018634,ERR4018471,ERR4018472,ERR4018473,CC BY,48.71751,-3.96649,1,Sessile,DMSO,40
ARMS_Svalbard_S1_180706_190806_MF100_EtOH,Norway,Svalbard,S1,2018-07-06,2019-08-06,ERR7127659,ERR7127653,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,78.21302778,15.23361111,14,Motile,EtOH,100
ARMS_Svalbard_S1_180706_190806_MF500_EtOH,Norway,Svalbard,S1,2018-07-06,2019-08-06,ERR7127636,ERR7127635,ERR7127637,ERR7125534,ERR7125533,ERR7125535,CC BY,78.21302778,15.23361111,14,Motile,EtOH,500
ARMS_Svalbard_S1_180706_190806_SF40_EtOH,Norway,Svalbard,S1,2018-07-06,2019-08-06,ERR7127639,ERR7127638,ERR7127640,ERR7125534,ERR7125533,ERR7125535,CC BY,78.21302778,15.23361111,14,Sessile,EtOH,40
ARMS_Svalbard_S1_190806_200804_MF100_DMSO,Norway,Svalbard,S1,2019-08-06,2020-08-04,ERR7127642,ERR7127641,ERR7127643,ERR7125534,ERR7125533,ERR7125535,CC BY,78.21302778,15.23361111,14,Motile,DMSO,100
ARMS_Svalbard_S1_190806_200804_MF500_DMSO,Norway,Svalbard,S1,2019-08-06,2020-08-04,ERR7127645,ERR7127644,ERR7127646,ERR7125534,ERR7125533,ERR7125535,CC BY,78.21302778,15.23361111,14,Motile,DMSO,500
ARMS_Svalbard_S1_190806_200804_SF40_DMSO,Norway,Svalbard,S1,2019-08-06,2020-08-04,ERR7127660,ERR7127654,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,78.21302778,15.23361111,14,Sessile,DMSO,40
ARMS_Svalbard_S2_180708_190805_MF100_EtOH,Norway,Svalbard,S2,2018-07-08,2019-08-05,ERR7127648,ERR7127647,ERR7127649,ERR7125534,ERR7125533,ERR7125535,CC BY,78.18833333,15.14472222,14,Motile,EtOH,100
ARMS_Svalbard_S2_180708_190805_MF500_EtOH,Norway,Svalbard,S2,2018-07-08,2019-08-05,ERR7127661,ERR7127655,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,78.18833333,15.14472222,14,Motile,EtOH,500
ARMS_Svalbard_S2_180708_190805_SF40_EtOH,Norway,Svalbard,S2,2018-07-08,2019-08-05,ERR7127662,ERR7127656,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,78.18833333,15.14472222,14,Sessile,EtOH,40
ARMS_Svalbard_S2_190805_200801_MF100_DMSO,Norway,Svalbard,S2,2019-08-05,2020-08-01,ERR7127663,ERR7127657,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,78.18833333,15.14472222,14,Motile,DMSO,100
ARMS_Svalbard_S2_190805_200801_MF500_DMSO,Norway,Svalbard,S2,2019-08-05,2020-08-01,ERR7127664,ERR7127658,no longer provided,ERR7125582,ERR7125581,no longer provided,CC BY,78.18833333,15.14472222,14,Motile,DMSO,500
ARMS_Svalbard_S2_190805_200801_SF40_DMSO,Norway,Svalbard,S2,2019-08-05,2020-08-01,ERR7127651,ERR7127650,ERR7127652,ERR7125534,ERR7125533,ERR7125535,CC BY,78.18833333,15.14472222,14,Sessile,DMSO,40
ARMS_SWC_Bjorko1_200131_200518_MF100_DMSO,Sweden,SWC,Bjorko1,2020-01-31,2020-05-18,ERR4914112,ERR4914054,ERR4914170,ERR4914160,ERR4914102,ERR4914218,CC BY,57.717984,11.679989,2,Motile,DMSO,100
ARMS_SWC_Bjorko1_200131_200518_MF500_DMSO,Sweden,SWC,Bjorko1,2020-01-31,2020-05-18,ERR4914113,ERR4914055,ERR4914171,ERR4914160,ERR4914102,ERR4914218,CC BY,57.717984,11.679989,2,Motile,DMSO,500
ARMS_SWC_Bjorko1_200131_200518_SF40_DMSO,Sweden,SWC,Bjorko1,2020-01-31,2020-05-18,ERR4914114,ERR4914056,ERR4914172,ERR4914160,ERR4914102,ERR4914218,CC BY,57.717984,11.679989,2,Sessile,DMSO,40
ARMS_SWC_Gbg1_200206_200520_MF100_DMSO,Sweden,SWC,Gbg1,2020-02-06,2020-05-20,ERR4914115,ERR4914057,NA,ERR4914160,ERR4914102,NA,CC BY,57.664805,11.714735,6,Motile,DMSO,100
ARMS_SWC_Gbg1_200206_200520_MF500_DMSO,Sweden,SWC,Gbg1,2020-02-06,2020-05-20,ERR4914116,ERR4914058,ERR4914174,ERR4914160,ERR4914102,ERR4914218,CC BY,57.664805,11.714735,6,Motile,DMSO,500
ARMS_SWC_Gbg1_200206_200520_SF40_DMSO,Sweden,SWC,Gbg1,2020-02-06,2020-05-20,ERR4914117,ERR4914059,ERR4914175,ERR4914160,ERR4914102,ERR4914218,CC BY,57.664805,11.714735,6,Sessile,DMSO,40
ARMS_SWC_Gbg2_200206_200520_MF100_DMSO,Sweden,SWC,Gbg2,2020-02-06,2020-05-20,ERR4914118,ERR4914060,ERR4914176,ERR4914160,ERR4914102,ERR4914218,CC BY,57.664608,11.732876,24,Motile,DMSO,100
ARMS_SWC_Gbg2_200206_200520_MF500_DMSO,Sweden,SWC,Gbg2,2020-02-06,2020-05-20,ERR4914119,ERR4914061,ERR4914177,ERR4914160,ERR4914102,ERR4914218,CC BY,57.664608,11.732876,24,Motile,DMSO,500
ARMS_SWC_Gbg2_200206_200520_SF40_DMSO,Sweden,SWC,Gbg2,2020-02-06,2020-05-20,ERR4914120,ERR4914062,ERR4914178,ERR4914160,ERR4914102,ERR4914218,CC BY,57.664608,11.732876,24,Sessile,DMSO,40
ARMS_SWC_Gbg3_200206_200529_MF100_DMSO,Sweden,SWC,Gbg3,2020-02-06,2020-05-29,ERR4914121,ERR4914063,ERR4914179,ERR4914160,ERR4914102,ERR4914218,CC BY,57.680533,11.740578,8,Motile,DMSO,100
ARMS_SWC_Gbg3_200206_200529_MF500_DMSO,Sweden,SWC,Gbg3,2020-02-06,2020-05-29,ERR4914122,ERR4914064,ERR4914180,ERR4914160,ERR4914102,ERR4914218,CC BY,57.680533,11.740578,8,Motile,DMSO,500
ARMS_SWC_Gbg3_200206_200529_SF40_DMSO,Sweden,SWC,Gbg3,2020-02-06,2020-05-29,ERR4914123,ERR4914065,ERR4914181,ERR4914160,ERR4914102,ERR4914218,CC BY,57.680533,11.740578,8,Sessile,DMSO,40
ARMS_SWC_Gbg4_200206_200529_MF100_DMSO,Sweden,SWC,Gbg4,2020-02-06,2020-05-29,ERR4914124,ERR4914066,ERR4914182,ERR4914160,ERR4914102,ERR4914218,CC BY,57.680805,11.728331,6,Motile,DMSO,100
ARMS_SWC_Gbg4_200206_200529_MF500_DMSO,Sweden,SWC,Gbg4,2020-02-06,2020-05-29,ERR4914125,ERR4914067,ERR4914183,ERR4914160,ERR4914102,ERR4914218,CC BY,57.680805,11.728331,6,Motile,DMSO,500
ARMS_SWC_Gbg4_200206_200529_SF40_DMSO,Sweden,SWC,Gbg4,2020-02-06,2020-05-29,ERR4914126,ERR4914068,ERR4914184,ERR4914160,ERR4914102,ERR4914218,CC BY,57.680805,11.728331,6,Sessile,DMSO,40
ARMS_SWC_Helsingborg1_200305_200604_MF100_DMSO,Sweden,SWC,Helsingborg1,2020-03-05,2020-06-04,ERR4914127,ERR4914069,ERR4914185,ERR4914160,ERR4914102,ERR4914218,CC BY,56.026272,12.695728,2,Motile,DMSO,100
ARMS_SWC_Helsingborg1_200305_200604_MF500_DMSO,Sweden,SWC,Helsingborg1,2020-03-05,2020-06-04,ERR4914128,ERR4914070,ERR4914186,ERR4914160,ERR4914102,ERR4914218,CC BY,56.026272,12.695728,2,Motile,DMSO,500
ARMS_SWC_Helsingborg1_200305_200604_SF40_DMSO,Sweden,SWC,Helsingborg1,2020-03-05,2020-06-04,ERR4914129,ERR4914071,ERR4914187,ERR4914160,ERR4914102,ERR4914218,CC BY,56.026272,12.695728,2,Sessile,DMSO,40
ARMS_SWC_Helsingborg2_200305_200604_MF100_DMSO,Sweden,SWC,Helsingborg2,2020-03-05,2020-06-04,ERR4914130,ERR4914072,ERR4914188,ERR4914160,ERR4914102,ERR4914218,CC BY,56.018061,12.700541,2,Motile,DMSO,100
ARMS_SWC_Helsingborg2_200305_200604_MF500_DMSO,Sweden,SWC,Helsingborg2,2020-03-05,2020-06-04,ERR4914131,ERR4914073,ERR4914189,ERR4914160,ERR4914102,ERR4914218,CC BY,56.018061,12.700541,2,Motile,DMSO,500
ARMS_SWC_Helsingborg2_200305_200604_SF40_DMSO,Sweden,SWC,Helsingborg2,2020-03-05,2020-06-04,ERR4914132,ERR4914074,ERR4914190,ERR4914160,ERR4914102,ERR4914218,CC BY,56.018061,12.700541,2,Sessile,DMSO,40
ARMS_SWC_Hjuvik1_200131_200518_MF100_DMSO,Sweden,SWC,Hjuvik1,2020-01-31,2020-05-18,ERR4914133,ERR4914075,ERR4914191,ERR4914160,ERR4914102,ERR4914218,CC BY,57.703221,11.711363,2,Motile,DMSO,100
ARMS_SWC_Hjuvik1_200131_200518_MF500_DMSO,Sweden,SWC,Hjuvik1,2020-01-31,2020-05-18,ERR4914134,ERR4914076,ERR4914192,ERR4914160,ERR4914102,ERR4914218,CC BY,57.703221,11.711363,2,Motile,DMSO,500
ARMS_SWC_Hjuvik1_200131_200518_SF40_DMSO,Sweden,SWC,Hjuvik1,2020-01-31,2020-05-18,ERR4914135,ERR4914077,ERR4914193,ERR4914160,ERR4914102,ERR4914218,CC BY,57.703221,11.711363,2,Sessile,DMSO,40
ARMS_SWC_Marstrand1_200228_200527_MF100_DMSO,Sweden,SWC,Marstrand1,2020-02-28,2020-05-27,ERR4914136,ERR4914078,ERR4914194,ERR4914160,ERR4914102,ERR4914218,CC BY,57.914434,11.594154,5,Motile,DMSO,100
ARMS_SWC_Marstrand1_200228_200527_MF500_DMSO,Sweden,SWC,Marstrand1,2020-02-28,2020-05-27,ERR4914137,ERR4914079,ERR4914195,ERR4914160,ERR4914102,ERR4914218,CC BY,57.914434,11.594154,5,Motile,DMSO,500
ARMS_SWC_Marstrand1_200228_200527_SF40_DMSO,Sweden,SWC,Marstrand1,2020-02-28,2020-05-27,ERR4914138,ERR4914080,ERR4914196,ERR4914160,ERR4914102,ERR4914218,CC BY,57.914434,11.594154,5,Sessile,DMSO,40
ARMS_SWC_Marstrand2_200228_200527_MF100_DMSO,Sweden,SWC,Marstrand2,2020-02-28,2020-05-27,ERR4914139,ERR4914081,ERR4914197,ERR4914160,ERR4914102,ERR4914218,CC BY,57.903512,11.581548,5,Motile,DMSO,100
ARMS_SWC_Marstrand2_200228_200527_MF500_DMSO,Sweden,SWC,Marstrand2,2020-02-28,2020-05-27,ERR4914140,ERR4914082,ERR4914198,ERR4914160,ERR4914102,ERR4914218,CC BY,57.903512,11.581548,5,Motile,DMSO,500
ARMS_SWC_Marstrand2_200228_200527_SF40_DMSO,Sweden,SWC,Marstrand2,2020-02-28,2020-05-27,ERR4914141,ERR4914083,ERR4914199,ERR4914160,ERR4914102,ERR4914218,CC BY,57.903512,11.581548,5,Sessile,DMSO,40
ARMS_SWC_Marstrand3_200228_200527_MF100_DMSO,Sweden,SWC,Marstrand3,2020-02-28,2020-05-27,ERR4914142,ERR4914084,ERR4914200,ERR4914160,ERR4914102,ERR4914218,CC BY,57.889278,11.585722,5,Motile,DMSO,100
ARMS_SWC_Marstrand3_200228_200527_MF500_DMSO,Sweden,SWC,Marstrand3,2020-02-28,2020-05-27,ERR4914143,ERR4914085,ERR4914201,ERR4914160,ERR4914102,ERR4914218,CC BY,57.889278,11.585722,5,Motile,DMSO,500
ARMS_SWC_Marstrand3_200228_200527_SF40_DMSO,Sweden,SWC,Marstrand3,2020-02-28,2020-05-27,ERR4914144,ERR4914086,ERR4914202,ERR4914160,ERR4914102,ERR4914218,CC BY,57.889278,11.585722,5,Sessile,DMSO,40
ARMS_SWC_Preemraff1_200401_200715_MF100_DMSO,Sweden,SWC,Preemraff1,2020-04-01,2020-07-15,ERR4914154,ERR4914096,ERR4914212,ERR4914160,ERR4914102,ERR4914218,CC BY,58.3533,11.43486,3,Motile,DMSO,100
ARMS_SWC_Preemraff1_200401_200715_MF500_DMSO,Sweden,SWC,Preemraff1,2020-04-01,2020-07-15,ERR4914155,ERR4914097,ERR4914213,ERR4914160,ERR4914102,ERR4914218,CC BY,58.3533,11.43486,3,Motile,DMSO,500
ARMS_SWC_Preemraff1_200401_200715_SF40_DMSO,Sweden,SWC,Preemraff1,2020-04-01,2020-07-15,ERR4914156,ERR4914098,ERR4914214,ERR4914160,ERR4914102,ERR4914218,CC BY,58.3533,11.43486,3,Sessile,DMSO,40
ARMS_SWC_Preemraff2_200401_200715_MF100_DMSO,Sweden,SWC,Preemraff2,2020-04-01,2020-07-15,ERR4914157,ERR4914099,ERR4914215,ERR4914160,ERR4914102,ERR4914218,CC BY,58.35405,11.43394,3,Motile,DMSO,100
