Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Data,Created,Updated
Laeso,Denmark,Laeso3,2019-08-19,2020-08-11,ARMS_Laeso_Laeso3_20190819_20200811,0,0,0,21,2019-11-11,2020-09-02
Laeso,Denmark,Laeso3,2020-08-11,2021-08,ARMS_Laeso_Laeso3_20200811_00000000,0,0,0,0,2020-09-01,2020-09-01
Laeso,Denmark,Laeso1,2019-08-19,2020-08-11,ARMS_Laeso_Laeso1_20190819_20200811,0,0,0,27,2019-11-11,2020-09-18
Laeso,Denmark,Laeso1,2020-08-11,2021-08,ARMS_Laeso_Laeso1_20200811_00000000,0,0,0,0,2020-09-01,2020-09-01
Laeso,Denmark,Laeso2,2020-08-11,2021-08,ARMS_Laeso_Laeso2_20200811_00000000,0,0,0,0,2020-09-01,2020-09-01
Laeso,Denmark,Laeso2,2019-08-19,2020-08-11,ARMS_Laeso_Laeso2_20190819_20200811,0,0,0,21,2020-04-29,2020-09-02
