EventID,MaterialSampleID,OriginalSampleID,Gene_COI,GeneNegControl_COI,GeneITS,GeneNegControl_ITS,Gene18S,GeneNegControl_18S
ARMS_Crete_1HERP_20190612_20191011,ARMS_Crete_1HERP_20190612_20191011_SF,2019_1HERP_ARMS2_SF1,ERR7125543,ERR7125534,ERR7125544,ERR7125535,ERR7125542,ERR7125533
ARMS_Crete_1HERP_20190612_20200210,ARMS_Crete_1HERP_20190612_20200210_MF500,2020_1HERP_ARMS3_MF500,ERR7125546,ERR7125534,ERR7125547,ERR7125535,ERR7125545,ERR7125533
ARMS_Crete_1HERP_20190612_20200210,ARMS_Crete_1HERP_20190612_20200210_MF90,2020_1HERP_ARMS3_MF90,ERR7125549,ERR7125534,ERR7125550,ERR7125535,ERR7125548,ERR7125533
ARMS_Crete_1HERP_20190612_20200210,ARMS_Crete_1HERP_20190612_20200210_SF,2020_1HERP_ARMS3_SF1,ERR7125552,ERR7125534,ERR7125553,ERR7125535,ERR7125551,ERR7125533
ARMS_Crete_1HERP_20190612_20200618,ARMS_Crete_1HERP_20190612_20200618_MF500,ARMS4_200618_Motile_500,ERR7125555,ERR7125534,ERR7125556,ERR7125535,ERR7125554,ERR7125533
ARMS_Crete_1HERP_20190612_20200618,ARMS_Crete_1HERP_20190612_20200618_MF90,ARMS4_200618_Motile_90,ERR7125558,ERR7125534,ERR7125559,ERR7125535,ERR7125557,ERR7125533
ARMS_Crete_1HERP_20190612_20200618,ARMS_Crete_1HERP_20190612_20200618_SF,ARMS4_200618_Sessile,ERR7125561,ERR7125534,ERR7125562,ERR7125535,ERR7125560,ERR7125533
ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500,ARMS5_200903-210122_Motile_500,ERR7125564,ERR7125534,ERR7125565,ERR7125535,ERR7125563,ERR7125533
ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF90,ARMS5_200903-210122_Motile_90,ERR7125567,ERR7125534,ERR7125568,ERR7125535,ERR7125566,ERR7125533
ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_SF,ARMS5_200903-210122_Sessile,ERR7125570,ERR7125534,ERR7125571,ERR7125535,ERR7125569,ERR7125533
ARMS_Crete_1HERP_20200903_20210626,ARMS_Crete_1HERP_20200903_20210626_MF500,ARMS6_Crete_1HERP_20200903_20210626_MF500,,,,,,
ARMS_Crete_1HERP_20200903_20210626,ARMS_Crete_1HERP_20200903_20210626_MF90,ARMS6_Crete_1HERP_20200903_20210626_MF90,,,,,,
ARMS_Crete_1HERP_20200903_20210626,ARMS_Crete_1HERP_20200903_20210626_SF,ARMS6_Crete_1HERP_20200903_20210626_SF,,,,,,
ARMS_Crete_1HERP_20200903_20211012,ARMS_Crete_1HERP_20200903_20211012_MF500,ARMS7_Crete_1HERP_20200903_20211012_MF500,,,,,,
ARMS_Crete_1HERP_20200903_20211012,ARMS_Crete_1HERP_20200903_20211012_MF90,ARMS7_Crete_1HERP_20200903_20211012_MF90,,,,,,
ARMS_Crete_1HERP_20200903_20211012,ARMS_Crete_1HERP_20200903_20211012_SF,ARMS7_Crete_1HERP_20200903_20211012_SF,,,,,,
ARMS_Crete_2UBPC_20190924_20201211,ARMS_Crete_2UBPC_20190924_20201211_MF500,ARMS_Crete_2UBPC_190924-201211_MF500,ERR7125573,ERR7125534,ERR7125574,ERR7125535,ERR7125572,ERR7125533
ARMS_Crete_2UBPC_20190924_20201211,ARMS_Crete_2UBPC_20190924_20201211_MF90,ARMS_Crete_2UBPC_190924-201211_MF90,ERR7125576,ERR7125534,ERR7125577,ERR7125535,ERR7125575,ERR7125533
ARMS_Crete_2UBPC_20190924_20201211,ARMS_Crete_2UBPC_20190924_20201211_SF,ARMS_Crete_2UBPC_190924-201211_SF,ERR7125579,ERR7125534,ERR7125580,ERR7125535,ERR7125578,ERR7125533
ARMS_Crete_2UBPC_20201120_20220901,ARMS_Crete_2UBPC_20201120_20220901_SF,ARMS_Crete_2UBPC_20201120_20220901_SF,,,,,,
ARMS_Crete_2UBPC_20201120_20220901,ARMS_Crete_2UBPC_20201120_20220901_MF90,ARMS_Crete_2UBPC_20201120_20220901_MF90,,,,,,
ARMS_Crete_2UBPC_20201120_20220901,ARMS_Crete_2UBPC_20201120_20220901_MF500,ARMS_Crete_2UBPC_20201120_20220901_MF500,,,,,,
ARMS_Eilat_Katza1_20181024_20200607,ARMS_Eilat_Katza1_20181024_20200607_MF100,ARMS_Katza_1_181024-200607_100_1,ERR7127623,ERR7125582,discontinued,discontinued,ERR7127611,ERR7125581
ARMS_Eilat_Katza1_20181024_20200607,ARMS_Eilat_Katza1_20181024_20200607_MF500,ARMS_Katza_1_181024-200607_500_1,ERR7127624,ERR7125582,discontinued,discontinued,ERR7127612,ERR7125581
ARMS_Eilat_Katza1_20181024_20200607,ARMS_Eilat_Katza1_20181024_20200607_SF45,ARMS_Katza_1_181024-200607_45_1,ERR7127625,ERR7125582,discontinued,discontinued,ERR7127613,ERR7125581
ARMS_Eilat_Katza2_20181024_20200803,ARMS_Eilat_Katza2_20181024_20200803_MF100,ARMS_Katza_2_181024-200803_100_2,ERR7127626,ERR7125582,discontinued,discontinued,ERR7127614,ERR7125581
ARMS_Eilat_Katza2_20181024_20200803,ARMS_Eilat_Katza2_20181024_20200803_MF500,ARMS_Katza_2_181024-200803_500_2,ERR7127627,ERR7125582,discontinued,discontinued,ERR7127615,ERR7125581
ARMS_Eilat_Katza2_20181024_20200803,ARMS_Eilat_Katza2_20181024_20200803_SF45,ARMS_Katza_2_181024-200803_45_2,ERR7127628,ERR7125582,discontinued,discontinued,ERR7127616,ERR7125581
ARMS_Eilat_NR1_20181017_20200204,ARMS_Eilat_NR1_20181017_20200204_MF100,ARMS_NR_1_181017-200204_100_1,ERR7127629,ERR7125582,discontinued,discontinued,ERR7127617,ERR7125581
ARMS_Eilat_NR1_20181017_20200204,ARMS_Eilat_NR1_20181017_20200204_MF500,ARMS_NR_1_181017-200204_500_1,ERR7127630,ERR7125582,discontinued,discontinued,ERR7127618,ERR7125581
ARMS_Eilat_NR1_20181017_20200204,ARMS_Eilat_NR1_20181017_20200204_SF45,ARMS_NR_1_181017-200204_45_1,ERR7127631,ERR7125582,discontinued,discontinued,ERR7127619,ERR7125581
ARMS_Eilat_NR2_20181017_20200524,ARMS_Eilat_NR2_20181017_20200524_MF100,ARMS_NR_2_181017-200524_100_2,ERR7127632,ERR7125582,discontinued,discontinued,ERR7127620,ERR7125581
ARMS_Eilat_NR2_20181017_20200524,ARMS_Eilat_NR2_20181017_20200524_MF500,ARMS_NR_2_181017-200524_500_2,ERR7127633,ERR7125582,discontinued,discontinued,ERR7127621,ERR7125581
ARMS_Eilat_NR2_20181017_20200524,ARMS_Eilat_NR2_20181017_20200524_SF45,ARMS_NR_2_181017-200524_45_2,ERR7127634,ERR7125582,discontinued,discontinued,ERR7127622,ERR7125581
ARMS_Galway_Gurr1_20200721_20210708,ARMS_Galway_Gurr1_20200721_20210708_MF100,ARMS_Galway_Gurr1_200721-210708_MF100A,,,,,,
ARMS_Galway_Gurr1_20200721_20210708,ARMS_Galway_Gurr1_20200721_20210708_MF500,ARMS_Galway_Gurr1_200721-210708_MF500A,,,,,,
ARMS_Galway_Gurr1_20200721_20210708,ARMS_Galway_Gurr1_20200721_20210708_SF40,ARMS_Galway_Gurr1_200721-210708_SF40A,,,,,,
ARMS_Galway_Gurr2_20200721_20210707,ARMS_Galway_Gurr2_20200721_20210707_MF100,ARMS_Galway_Gurr2_200721-210707_MF100A,,,,,,
ARMS_Galway_Gurr2_20200721_20210707,ARMS_Galway_Gurr2_20200721_20210707_MF500,ARMS_Galway_Gurr2_200721-210707_MF500A,,,,,,
ARMS_Galway_Gurr2_20200721_20210707,ARMS_Galway_Gurr2_20200721_20210707_SF40,ARMS_Galway_Gurr2_200721-210707_SF40A,,,,,,
ARMS_Galway_Gurr3_20200723_20210708,ARMS_Galway_Gurr3_20200723_20210708_MF100,ARMS_Galway_Gurr3_200723-210708_MF100A,,,,,,
ARMS_Galway_Gurr3_20200723_20210708,ARMS_Galway_Gurr3_20200723_20210708_MF500,ARMS_Galway_Gurr3_200723-210708_MF500A,,,,,,
ARMS_Galway_Gurr3_20200723_20210708,ARMS_Galway_Gurr3_20200723_20210708_SF40,ARMS_Galway_Gurr3_200723-210708_SF40A,,,,,,
ARMS_Gdynia_GDY1_20180813_20191029,ARMS_Gdynia_GDY1_20180813_20191029_MF100_DMSO,1206_GDY_2018_MF100_DESS,ERR4018726,ERR4018471,ERR4018724,ERR4018473,ERR4018722,ERR4018472
ARMS_Gdynia_GDY1_20180813_20191029,ARMS_Gdynia_GDY1_20180813_20191029_MF500_DMSO,1206_GDY_2018_MF500_DESS,ERR4018727,ERR4018471,ERR4018725,ERR4018473,ERR4018723,ERR4018472
ARMS_Gdynia_GDY1_20180813_20191029,ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO,1206_GDY_2018_SF-Plate1-DESS,MiSeq (indices) / cutadapt (primers),ERR7125534,MiSeq (indices) / cutadapt (primers),ERR7125535,MiSeq (indices) / cutadapt (primers),ERR7125533
ARMS_Gdynia_GDY1_20190619_20191029,ARMS_Gdynia_GDY1_20190619_20191029_MF100,1285_GDY_2019_MF100-DESS,ERR9632087,ERR9632065,discontinued,discontinued,ERR9632072,ERR9632062
ARMS_Gdynia_GDY1_20190619_20191029,ARMS_Gdynia_GDY1_20190619_20191029_MF500,1285_GDY_2019_MF500-DESS,ERR7125527,ERR7125534,ERR7125528,ERR7125535,ERR7125526,ERR7125533
ARMS_Gdynia_GDY1_20190619_20191029,ARMS_Gdynia_GDY1_20190619_20191029_SF38,1285_GDY_2019_SF-Plate1-DESS,ERR9632088,ERR9632065,discontinued,discontinued,ERR9632073,ERR9632062
ARMS_Getxo_G1_20190624_20191016,ARMS_Getxo_G1_20190624_20191016_MF100,Getxo-G1-MF100-A-DMSO,ERR7127704,ERR7125582,discontinued,discontinued,ERR7127693,ERR7125581
ARMS_Getxo_G1_20190624_20191016,ARMS_Getxo_G1_20190624_20191016_MF500,Getxo-G1-MF500-A-DMSO,ERR7127705,ERR7125582,discontinued,discontinued,ERR7127694,ERR7125581
ARMS_Getxo_G1_20190624_20191016,ARMS_Getxo_G1_20190624_20191016_SF40,Getxo-G1-SF40-A-DMSO,ERR7127706,ERR7125582,discontinued,discontinued,ERR7127695,ERR7125581
ARMS_Getxo_G1_20200624_20201103,ARMS_Getxo_G1_20200624_20201103_MF100,Getxo-G1-MF100-A-B-C-DMSO,ERR7127667,ERR7125534,ERR7127668,ERR7125535,ERR7127666,ERR7125533
