Country,ObservatoryID,UnitID,DateDeployed,DateCollected,EventID,MaterialSampleID,Fraction,Preservative,Filter,CrateCover,Number of associated data files,Number of ENA sequences
BEL,BelgiumCoast,BirkenfelsB,2020-06-17,2021-03-09,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF100,Motile,DMSO,100,no,37,0
BEL,BelgiumCoast,BirkenfelsB,2020-06-17,2021-03-09,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_MF500,Motile,DMSO,500,no,37,0
BEL,BelgiumCoast,BirkenfelsB,2020-06-17,2021-03-09,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309_SF40,Sessile,DMSO,40,no,37,0
BEL,BelgiumCoast,CPowerA,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerA_20210623_20220622,EMOBON_BelgiumCoast_CPOWERA_20210623_20220622_MF100_A,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerA,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerA_20210623_20220622,EMOBON_BelgiumCoast_CPOWERA_20210623_20220622_MF100_B,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerA,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerA_20210623_20220622,EMOBON_BelgiumCoast_CPOWERA_20210623_20220622_MF500_A,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerA,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerA_20210623_20220622,EMOBON_BelgiumCoast_CPOWERA_20210623_20220622_MF500_B,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerA,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerA_20210623_20220622,EMOBON_BelgiumCoast_CPOWERA_20210623_20220622_SF40_A,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerA,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerA_20210623_20220622,EMOBON_BelgiumCoast_CPOWERA_20210623_20220622_SF40_B,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerA,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerA_20210623_20220622,EMOBON_BelgiumCoast_CPOWERA_20210623_20220622_SF40_C,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerB,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerB_20210623_20220622,EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_MF100_A,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerB,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerB_20210623_20220622,EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_MF100_B,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerB,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerB_20210623_20220622,EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_MF500_A,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerB,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerB_20210623_20220622,EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_MF500_B,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerB,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerB_20210623_20220622,EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_SF40_A,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerB,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerB_20210623_20220622,EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_SF40_B,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerB,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerB_20210623_20220622,EMOBON_BelgiumCoast_CPOWERB_20210623_20220622_SF40_C,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerC,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerC_20210623_20220622,EMOBON_BelgiumCoast_CPOWERC_20210623_20220622_MF100_A,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerC,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerC_20210623_20220622,EMOBON_BelgiumCoast_CPOWERC_20210623_20220622_MF100_B,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerC,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerC_20210623_20220622,EMOBON_BelgiumCoast_CPOWERC_20210623_20220622_MF500_A,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerC,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerC_20210623_20220622,EMOBON_BelgiumCoast_CPOWERC_20210623_20220622_MF500_B,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerC,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerC_20210623_20220622,EMOBON_BelgiumCoast_CPOWERC_20210623_20220622_SF40_A,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerC,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerC_20210623_20220622,EMOBON_BelgiumCoast_CPOWERC_20210623_20220622_SF40_B,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CPowerC,2021-06-23,2022-06-22,ARMS_BelgiumCoast_CPowerC_20210623_20220622,EMOBON_BelgiumCoast_CPOWERC_20210623_20220622_SF40_C,,Not provided,Not provided,Not provided,19,0
BEL,BelgiumCoast,CoastbustersA,2021-04-22,2021-10-08,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF100,Motile,DMSO,100,no,19,0
BEL,BelgiumCoast,CoastbustersA,2021-04-22,2021-10-08,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_MF500,Motile,DMSO,500,no,19,0
BEL,BelgiumCoast,CoastbustersA,2021-04-22,2021-10-08,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008_SF40,Sessile,DMSO,40,,19,0
BEL,BelgiumCoast,CoastbustersB,2021-04-22,2023-02-15,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF100,Motile,Frozen,100,,18,0
BEL,BelgiumCoast,CoastbustersB,2021-04-22,2023-02-15,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_MF500,Motile,Frozen,500,,18,0
BEL,BelgiumCoast,CoastbustersB,2021-04-22,2023-02-15,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215_SF40,Sessile,Frozen,40,,18,0
DNK,Limfjord,Green33,2019-06-18,2019-10-29,ARMS_Limfjord_Green33_20190618_20191029,ARMS_Limfjord_Green33_20190618_20191029_MF100,Motile,DMSO,100,Yes,28,6
DNK,Limfjord,Green33,2019-06-18,2019-10-29,ARMS_Limfjord_Green33_20190618_20191029,ARMS_Limfjord_Green33_20190618_20191029_MF500,Motile,DMSO,500,Yes,28,6
DNK,Limfjord,Green33,2019-06-18,2019-10-29,ARMS_Limfjord_Green33_20190618_20191029,ARMS_Limfjord_Green33_20190618_20191029_SF40,Sessile,DMSO,40,Yes,28,6
DNK,Limfjord,Green33,2019-10-29,2020-11-10,ARMS_Limfjord_Green33_20191029_20201110,ARMS_Limfjord_Green33_20191029_20201110_MF100,Motile,DMSO,100,,24,4
DNK,Limfjord,Green33,2019-10-29,2020-11-10,ARMS_Limfjord_Green33_20191029_20201110,ARMS_Limfjord_Green33_20191029_20201110_MF500,Motile,DMSO,500,,24,4
DNK,Limfjord,Green33,2019-10-29,2020-11-10,ARMS_Limfjord_Green33_20191029_20201110,ARMS_Limfjord_Green33_20191029_20201110_SF40,Sessile,DMSO,40,,24,4
DNK,Limfjord,Green33,2020-11-10,2021-11-15,ARMS_Limfjord_Green33_20201110_20211115,ARMS_Limfjord_Green33_20201110_20211115_MF100,Motile,DMSO,100,no,0,0
DNK,Limfjord,Green33,2020-11-10,2021-11-15,ARMS_Limfjord_Green33_20201110_20211115,ARMS_Limfjord_Green33_20201110_20211115_MF500,Motile,DMSO,500,no,0,0
DNK,Limfjord,Green33,2020-11-10,2021-11-15,ARMS_Limfjord_Green33_20201110_20211115,ARMS_Limfjord_Green33_20201110_20211115_SF40,Sessile,DMSO,40,no,0,0
DNK,Limfjord,Red2,2019-06-18,2019-10-29,ARMS_Limfjord_Red2_20190618_20191029,ARMS_Limfjord_Red2_20190618_20191029_MF100,Motile,DMSO,100,Yes,56,6
DNK,Limfjord,Red2,2019-06-18,2019-10-29,ARMS_Limfjord_Red2_20190618_20191029,ARMS_Limfjord_Red2_20190618_20191029_MF500,Motile,DMSO,500,Yes,56,6
DNK,Limfjord,Red2,2019-06-18,2019-10-29,ARMS_Limfjord_Red2_20190618_20191029,ARMS_Limfjord_Red2_20190618_20191029_SF40,Sessile,DMSO,40,Yes,56,6
DNK,Limfjord,Red2,2019-10-29,2020-11-10,ARMS_Limfjord_Red2_20191029_20201110,ARMS_Limfjord_Red2_20191029_20201110_MF100,Motile,DMSO,100,,21,4
DNK,Limfjord,Red2,2019-10-29,2020-11-10,ARMS_Limfjord_Red2_20191029_20201110,ARMS_Limfjord_Red2_20191029_20201110_MF500,Motile,DMSO,500,,21,4
DNK,Limfjord,Red2,2019-10-29,2020-11-10,ARMS_Limfjord_Red2_20191029_20201110,ARMS_Limfjord_Red2_20191029_20201110_SF40,Sessile,DMSO,40,,21,4
DNK,Limfjord,Red2,2020-11-10,2021-11-15,ARMS_Limfjord_Red2_20201110_20211115,ARMS_Limfjord_Red2_20201110_20211115_MF100,Motile,DMSO,100,no,0,0
DNK,Limfjord,Red2,2020-11-10,2021-11-15,ARMS_Limfjord_Red2_20201110_20211115,ARMS_Limfjord_Red2_20201110_20211115_MF500,Motile,DMSO,500,no,0,0
DNK,Limfjord,Red2,2020-11-10,2021-11-15,ARMS_Limfjord_Red2_20201110_20211115,ARMS_Limfjord_Red2_20201110_20211115_SF40,Sessile,DMSO,40,no,0,0
DNK,Limfjord,Yellow8,2019-06-18,2019-10-29,ARMS_Limfjord_Yellow8_20190618_20191029,ARMS_Limfjord_Yellow8_20190618_20191029_MF100,Motile,DMSO,100,,99,6
DNK,Limfjord,Yellow8,2019-06-18,2019-10-29,ARMS_Limfjord_Yellow8_20190618_20191029,ARMS_Limfjord_Yellow8_20190618_20191029_MF500,Motile,DMSO,500,,99,6
DNK,Limfjord,Yellow8,2019-06-18,2019-10-29,ARMS_Limfjord_Yellow8_20190618_20191029,ARMS_Limfjord_Yellow8_20190618_20191029_SF40,Sessile,DMSO,40,,99,6
DNK,Limfjord,Yellow8,2020-11-10,2021-11-15,ARMS_Limfjord_Yellow8_20201110_20211115,ARMS_Limfjord_Yellow8_20201110_20211115_MF100,Motile,DMSO,100,no,0,0
DNK,Limfjord,Yellow8,2020-11-10,2021-11-15,ARMS_Limfjord_Yellow8_20201110_20211115,ARMS_Limfjord_Yellow8_20201110_20211115_MF500,Motile,DMSO,500,no,0,0
DNK,Limfjord,Yellow8,2020-11-10,2021-11-15,ARMS_Limfjord_Yellow8_20201110_20211115,ARMS_Limfjord_Yellow8_20201110_20211115_SF40,Sessile,DMSO,40,no,0,0
ESP,BojaVida,,2020-06-11,2021-07-28,ARMS_GulfOfPiran_BojaVida_20200611_20210728,ARMS_GulfOfPiran_BojaVida_20200611_20210728_MF40_DMSO,Motile,DMSO,40,,0,0
ESP,BojaVida,,2020-06-11,2021-07-28,ARMS_GulfOfPiran_BojaVida_20200611_20210728,ARMS_GulfOfPiran_BojaVida_20200611_20210728_SF100_DMSO,Sessile,DMSO,100,,0,0
ESP,BojaVida,,2020-06-11,2021-07-28,ARMS_GulfOfPiran_BojaVida_20200611_20210728,ARMS_GulfOfPiran_BojaVida_20200611_20210728_SF40_DMSO,Sessile,DMSO,40,,0,0
ESP,Getxo,G1,2019-06-24,2019-10-16,ARMS_Getxo_G1_20190624_20191016,ARMS_Getxo_G1_20190624_20191016_MF100,Motile,DMSO,100,No,134,4
ESP,Getxo,G1,2019-06-24,2019-10-16,ARMS_Getxo_G1_20190624_20191016,ARMS_Getxo_G1_20190624_20191016_MF500,Motile,DMSO,500,No,134,4
ESP,Getxo,G1,2019-06-24,2019-10-16,ARMS_Getxo_G1_20190624_20191016,ARMS_Getxo_G1_20190624_20191016_SF40,Sessile,DMSO,40,No,134,4
ESP,Getxo,G1,2020-06-24,2020-11-03,ARMS_Getxo_G1_20200624_20201103,ARMS_Getxo_G1_20200624_20201103_MF100,Motile,DMSO,100,,236,6
ESP,Getxo,G1,2020-06-24,2020-11-03,ARMS_Getxo_G1_20200624_20201103,ARMS_Getxo_G1_20200624_20201103_MF500,Motile,DMSO,500,,236,6
ESP,Getxo,G1,2020-06-24,2020-11-03,ARMS_Getxo_G1_20200624_20201103,ARMS_Getxo_G1_20200624_20201103_SF40,Sessile,DMSO,40,,236,6
ESP,Getxo,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,ARMS_Getxo_G2_20190624_20191016_MF100,Motile,DMSO,100,No,121,6
ESP,Getxo,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,ARMS_Getxo_G2_20190624_20191016_MF500,Motile,DMSO,500,No,121,4
ESP,Getxo,G2,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,ARMS_Getxo_G2_20190624_20191016_SF40,Sessile,DMSO,40,No,121,4
ESP,Getxo,G2,2020-06-24,2020-11-03,ARMS_Getxo_G2_20200624_20201103,ARMS_Getxo_G2_20200624_20201103_MF100,Motile,DMSO,100,,231,6
ESP,Getxo,G2,2020-06-24,2020-11-03,ARMS_Getxo_G2_20200624_20201103,ARMS_Getxo_G2_20200624_20201103_SF40,Sessile,DMSO,40,,231,6
