ASV_number:amplicon,ARMS_Gdynia_GDY1_20190619_20191029_MF100_r1,ARMS_Gdynia_GDY1_20190619_20191029_SF38_r1,ARMS_Crete_1HERP_20180928_20190128_MF125_DMSO_r1,ARMS_Crete_1HERP_20180928_20190128_MF125_ETOH_r1,ARMS_Bodo_GStraB_20190621_20201207_MF100_r1,ARMS_Bodo_GStraB_20190621_20201207_MF500_r1,ARMS_Bodo_GStraM_20190621_20201207_MF100_r1,ARMS_Bodo_GStraM_20190621_20201207_MF500_r1,ARMS_Bodo_GStraM_20190621_20201207_SF50_A_r1,ARMS_Bodo_GStraB_20190621_20201207_SF50_A_r1,ARMS_Vigo_TorallaC_20190625_20191014_SF40_r1,ARMS_Limfjord_Green33_20191029_20201110_MF100_r1,ARMS_Limfjord_Green33_20191029_20201110_MF500_r1,ARMS_Limfjord_Green33_20191029_20201110_SF40_r1,ARMS_Limfjord_Red2_20191029_20201110_MF100_r1,ARMS_Limfjord_Red2_20191029_20201110_MF500_r1,ARMS_Limfjord_Red2_20191029_20201110_SF40_r1,Classification,TAXON:NCBI_TAX_ID
ASV_538:9feab8e850dc265ee6d2938fa6e07220afcbadde,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,Eukaryota;Jakobida;Jakobida;Jakobida;Jakobidae;Jakoba;Jakoba bahamiensis,Jakoba bahamiensis:221721
ASV_539:b380e6a3dfa316ee3cc4aa8cdf0c0bad3e2f10ca,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Discosea;Longamoebia;Longamoebia;Acanthamoebidae;Acanthamoeba;Acanthamoeba comandoni,Acanthamoeba comandoni:65659
ASV_540:b81b36d9bd30e48d819d01319631d126d80f51d7,0,0,0,0,2,0,10,1,0,0,0,0,0,0,0,0,0,Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira curviseriata,Thalassiosira curviseriata:291032
ASV_541:ba9eade57b92893dc415973166553fa39b86ac4f,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Thraustochytrida;Bigyra_2;Thraustochytrida;Thraustochytriaceae;Aurantiochytrium;Aurantiochytrium acetophilum,Aurantiochytrium acetophilum:2172886
ASV_542:caf57841183a29e73ede936f943c83bb4f065b48,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Arachnida;Scorpiones;Buthidae;Centruroides;Centruroides pococki,Centruroides pococki:2565433
ASV_543:d725f63632d315455224a1b2ee8f6c67c50727a2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,Eukaryota;Arthropoda;Arachnida;Opiliones;Sclerosomatidae;Pseudogagrella;Pseudogagrella andoi,Pseudogagrella andoi:1972181
ASV_544:df9f572b96dda332bfceb22c5247647760dd6963,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Platyhelminthes;Trematoda;Plagiorchiida;Paramphistomidae;Calicophoron;Calicophoron microbothrioides,Calicophoron microbothrioides:154335
ASV_545:e0c17b6fcf3958faf23f1eaccc003169b615691c,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chlorophyta;Chlorophyceae;Sphaeropleales;Hydrodictyaceae;Pseudopediastrum;Pseudopediastrum integrum,Pseudopediastrum integrum:271402
ASV_546:e37bfcc5453775f40080349cf31f8a047966fa14,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,Eukaryota;Streptophyta;Bryopsida;Pottiales;Pottiaceae;Chionoloma;Chionoloma tenuirostre,Chionoloma tenuirostre:301336
ASV_547:f2736861ac40d23ea42f5c89e0aec5d8c100ba54,0,0,0,0,0,0,0,0,0,0,0,11,2,0,1,1,0,Eukaryota;Rhodophyta;Bangiophyceae;Bangiales;Bangiaceae;Pyropia;Pyropia endiviifolia,Pyropia endiviifolia:1699272
