Station,Country,ARMS_unit,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Data,Created,Updated
Vigo,Spain,TorallaA,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,0,0,0,26,2020-07-13,2020-10-12
Vigo,Spain,TorallaA,2018-06-07,2018-09-24,ARMS_Vigo_TorallaA_20180607_20180924,0,0,0,25,2019-11-11,2022-01-24
Vigo,Spain,TorallaA,2019-06-25,2019-10-14,ARMS_Vigo_TorallaA_20190625_20191014,0,0,0,21,2019-11-11,2022-01-24
Vigo,Spain,TorallaB,2020-07-06,2020-10-06,ARMS_Vigo_TorallaB_20200706_20201006,0,0,0,18,2020-07-13,2020-10-12
Vigo,Spain,TorallaB,2019-06-25,2019-10-14,ARMS_Vigo_TorallaB_20190625_20191014,0,0,0,18,2019-11-11,2022-01-24
Vigo,Spain,TorallaC,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,0,0,0,18,2020-07-13,2020-12-15
Vigo,Spain,TorallaC,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,0,0,0,18,2019-11-11,2022-01-24
