sample,qc_param,qc_flag,plutoF_data,gsheets_data
ARMS_SWC_Helsingborg2_20200305_20200604_MF500,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_SWC_Marstrand1_20200228_20200527_MF100,event_id,pass,,
ARMS_SWC_Marstrand1_20200228_20200527_MF100,preservative,not present in plutoF sample id,,
ARMS_SWC_Marstrand1_20200228_20200527_MF100,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_SWC_Marstrand1_20200228_20200527_MF500,event_id,pass,,
ARMS_SWC_Marstrand1_20200228_20200527_MF500,preservative,not present in plutoF sample id,,
ARMS_SWC_Marstrand1_20200228_20200527_MF500,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_SWC_Marstrand1_20200228_20200527_SF40,event_id,pass,,
ARMS_SWC_Marstrand1_20200228_20200527_SF40,preservative,not present in plutoF sample id,,
ARMS_SWC_Marstrand1_20200228_20200527_SF40,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_SWC_Preemraff2_20200401_20200715_MF100,event_id,pass,,
ARMS_SWC_Preemraff2_20200401_20200715_MF100,preservative,not present in plutoF sample id,,
ARMS_SWC_Preemraff2_20200401_20200715_MF100,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_SWC_Preemraff2_20200401_20200715_MF500,event_id,pass,,
ARMS_SWC_Preemraff2_20200401_20200715_MF500,preservative,not present in plutoF sample id,,
ARMS_SWC_Preemraff2_20200401_20200715_MF500,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_SWC_Preemraff2_20200401_20200715_SF40,event_id,pass,,
ARMS_SWC_Preemraff2_20200401_20200715_SF40,preservative,not present in plutoF sample id,,
ARMS_SWC_Preemraff2_20200401_20200715_SF40,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_SWC_Preemraff1_20200401_20200715_MF100,event_id,pass,,
ARMS_SWC_Preemraff1_20200401_20200715_MF100,preservative,not present in plutoF sample id,,
ARMS_SWC_Preemraff1_20200401_20200715_MF100,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_SWC_Preemraff1_20200401_20200715_SF40,event_id,pass,,
ARMS_SWC_Preemraff1_20200401_20200715_SF40,preservative,not present in plutoF sample id,,
ARMS_SWC_Preemraff1_20200401_20200715_SF40,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
ARMS_SWC_Preemraff1_20200401_20200715_MF500,event_id,pass,,
ARMS_SWC_Preemraff1_20200401_20200715_MF500,preservative,not present in plutoF sample id,,
ARMS_SWC_Preemraff1_20200401_20200715_MF500,preservative+fraction+filter,couldn't be checked due to missing data in plutoF or gsheets,,
