Event-ID from GS,Deployment Date from GS,Collection Date from GS,Event_id from PlutoF,Date_start from PlutoF,Date_end from PlutoF
missing,missing,missing,ARMS_BelgiumCoast_AZBW1_20190924_20200303,2019-09-24,2020-03-03
ARMS_BelgiumCoast_AJJC86_20200506_20201012,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJC86_20200506_20201012,2020-05-06,2020-10-12
ARMS_BelgiumCoast_AZBE1_20190924_20200303,2019-09-24,2020-03-03,ARMS_BelgiumCoast_AZBE1_20190924_20200303,2019-09-24,2020-03-03
ARMS_BelgiumCoast_AJJCD89_20210225_20210819,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,2021-02-25,2021-08-19
ARMS_BelgiumCoast_AJJBC89_20210225_20210819,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,2021-02-25,2021-08-19
ARMS_BelgiumCoast_AZFPin_20180712_20180818,2018-07-12,2018-08-18,ARMS_BelgiumCoast_AZFPin_20180712_20180818,2018-07-12,2018-08-18
ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,2020-06-17,2021-03-09,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,2020-06-17,2021-03-09
missing,missing,missing,ARMS_BelgiumCoast_CPowerB_20210623_20220622,2021-06-23,2022-06-22
missing,missing,missing,ARMS_BelgiumCoast_CPowerA_20210623_20220622,2021-06-23,2022-06-22
missing,missing,missing,ARMS_BelgiumCoast_CPowerC_20210623_20220622,2021-06-23,2022-06-22
ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,2021-04-22,2021-10-08,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,2021-04-22,2021-10-08
ARMS_BelgiumCoast_AJJC81_20200506_20201012,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJC81_20200506_20201012,2020-05-06,2020-10-12
ARMS_BelgiumCoast_AJJCD78_20200506_20201012,2020-05-06,2020-10-12,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,2020-05-06,2020-10-12
ARMS_BelgiumCoast_AJJCD78_20210225_20210819,2021-02-25,2021-08-19,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,2021-02-25,2021-08-19
ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,2020-06-17,2021-03-09,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,2020-06-17,2021-03-09
ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,2021-04-22,2023-02-15,ARMS_BelgiumCoast_CoastbustersB_20210422_20230215,2021-04-22,2023-02-15
ARMS_Vigo_TorallaB_20200706_20201006,2020-07-06,2020-10-06,ARMS_Vigo_TorallaB_20200706_20201006,2020-07-06,2020-10-06
ARMS_Vigo_TorallaB_20190625_20191014,2019-06-25,2019-10-14,ARMS_Vigo_TorallaB_20190625_20191014,2019-06-25,2019-10-14
ARMS_Vigo_TorallaC_20200706_20201006,2020-07-06,2020-10-06,ARMS_Vigo_TorallaC_20200706_20201006,2020-07-06,2020-10-06
ARMS_Vigo_TorallaC_20190625_20191014,2019-06-25,2019-10-14,ARMS_Vigo_TorallaC_20190625_20191014,2019-06-25,2019-10-14
ARMS_Vigo_TorallaA_20200706_20201006,2020-07-06,2020-10-06,ARMS_Vigo_TorallaA_20200706_20201006,2020-07-06,2020-10-06
ARMS_Vigo_TorallaA_20180607_20180924,2018-06-07,2018-09-24,ARMS_Vigo_TorallaA_20180607_20180924,2018-06-07,2018-09-24
ARMS_Vigo_TorallaA_20190625_20191014,2019-06-25,2019-10-14,ARMS_Vigo_TorallaA_20190625_20191014,2019-06-25,2019-10-14
ARMS_Eilat_NR2_20181017_20200524,2018-10-17,2020-05-24,ARMS_Eilat_NR2_20181017_20200524,2018-10-17,2020-05-24
missing,missing,missing,ARMS_Eilat_NR2_20201227_00000000,2020-12-27,
missing,missing,missing,ARMS_Eilat_NR1_20201227_00000000,2020-12-27,
ARMS_Eilat_NR1_20181017_20200204,2018-10-17,2020-02-04,ARMS_Eilat_NR1_20181017_20200204,2018-10-17,2020-02-04
ARMS_Eilat_Katza2_20181024_20200803,2018-10-24,2020-08-03,ARMS_Eilat_Katza2_20181024_20200803,2018-10-24,2020-08-03
ARMS_Eilat_Katza1_20181024_20200706,2018-10-24,2020-07-06,ARMS_Eilat_Katza1_20181024_20200706,2018-10-24,2020-07-06
ARMS_GulfOfPiran_Fornace_20180815_20181118,2018-08-15,2018-11-18,ARMS_GulfOfPiran_Fornace_20180815_20181118,2018-08-15,2018-11-18
missing,missing,missing,ARMS_GulfOfPiran_Fornace_20180815_20190215,2018-08-15,2019-02-15
missing,missing,missing,ARMS_GulfOfPiran_Fornace_20190702_20200127,2019-07-02,2020-01-27
missing,missing,missing,ARMS_GulfOfPiran_Fornace_20190702_20200610,2019-07-02,2020-06-10
missing,missing,missing,ARMS_GulfOfPiran_LukaKP_20201022_20210223,2020-10-22,2021-02-23
missing,missing,missing,ARMS_GulfOfPiran_LukaKP_20200622_20201020,2020-06-22,2020-10-20
ARMS_GulfOfPiran_LukaKP_20210223_20210622,2021-02-23,2021-06-22,ARMS_GulfOfPiran_LukaKP_20210223_20210622,2021-02-23,2021-06-22
ARMS_GulfOfPiran_LukaKP_20210622_20211027,2021-06-22,2021-10-27,ARMS_GulfOfPiran_LukaKP_20210622_20211027,2021-06-22,2021-10-27
missing,missing,missing,ARMS_GulfOfPiran_LukaKP_20211027_20220228,2021-10-27,2022-02-28
missing,missing,missing,ARMS_GulfOfPiran_LukaKP_20220228_20220620,2022-02-28,2022-06-20
missing,missing,missing,ARMS_GulfOfPiran_LukaKP_20220620_20221010,2022-06-20,2022-10-10
missing,missing,missing,ARMS_GulfOfPiran_LukaKP_20220620_20221010,2022-06-20,2022-10-10
missing,missing,missing,ARMS_GulfOfPiran_BojaVida_20190711_20200131,2019-07-11,2020-01-31
missing,missing,missing,ARMS_GulfOfPiran_BojaVida_20190711_20200611,2019-07-11,2020-06-11
ARMS_GulfOfPiran_BojaVida_20200611_20210728,2020-06-11,2021-07-28,ARMS_GulfOfPiran_BojaVida_20200611_20210728,2020-06-11,2021-07-28
missing,missing,missing,ARMS_GulfOfPiran_BojaVida_20210728_20220816,2021-07-28,2022-08-16
missing,missing,missing,ARMS_Nuuk_Nuuk2_20211005_20230815,2021-10-05,2023-08-15
missing,missing,missing,ARMS_Nuuk_Nuuk3_20211005_20230815,2021-10-05,2023-08-15
missing,missing,missing,ARMS_Nuuk_Nuuk1_20211005_20230815,2021-10-05,2023-08-15
missing,missing,missing,ARMS_Daneborg_Daneborg2_20210722_20230815,2021-07-22,2023-08-15
missing,missing,missing,ARMS_Daneborg_Daneborg3_20210722_20230815,2021-07-22,2023-08-15
missing,missing,missing,ARMS_Daneborg_Daneborg1_20210722_20230815,2021-07-22,2023-08-15
ARMS_Getxo_G2_20190624_20191016,2019-06-24,2019-10-16,ARMS_Getxo_G2_20190624_20191016,2019-06-24,2019-10-16
ARMS_Getxo_G2_20200624_20201103,2020-06-24,2020-11-03,ARMS_Getxo_G2_20200624_20201103,2020-06-24,2020-11-03
ARMS_Getxo_G1_20190624_20191016,2019-06-24,2019-10-16,ARMS_Getxo_G1_20190624_20191016,2019-06-24,2019-10-16
ARMS_Getxo_G1_20200624_20201103,2020-06-24,2020-11-03,ARMS_Getxo_G1_20200624_20201103,2020-06-24,2020-11-03
ARMS_Getxo_G3_20190624_20191016,2019-06-24,2019-10-16,ARMS_Getxo_G3_20190624_20191016,2019-06-24,2019-10-16
ARMS_Getxo_G3_20200624_20201103,2020-06-24,2020-11-03,ARMS_Getxo_G3_20200624_20201103,2020-06-24,2020-11-03
ARMS_Gdynia_GDY1_20180813_20191029,2018-08-13,2019-10-29,ARMS_Gdynia_GDY1_20180813_20191029,2018-08-13,2019-10-29
missing,missing,missing,ARMS_Gdynia_GDY1_20200610_20211222,2020-06-10,2021-12-22
