sample,qc_param,qc_flag,plutoF_data,gsheets_data
ARMS_Crete_1HERP_20180928_20190128_PS250_ETOH,arms_id,fail,not found,ARMS_Crete_1HERP_20180928_20190128_PS250_ETOH
ARMS_Crete_1HERP_20180928_20190128_SED,arms_id,fail,not found,ARMS_Crete_1HERP_20180928_20190128_SED
ARMS_Crete_1HERP_20180928_20190128_SF_DMSO,arms_id,fail,not found,ARMS_Crete_1HERP_20180928_20190128_SF_DMSO
ARMS_Crete_1HERP_20180928_20190128_SF_ETOH,arms_id,fail,not found,ARMS_Crete_1HERP_20180928_20190128_SF_ETOH
ARMS_Crete_1HERP_20190612_20191011_MF500,arms_id,fail,not found,ARMS_Crete_1HERP_20190612_20191011_MF500
ARMS_Crete_1HERP_20190612_20191011_MF90,arms_id,fail,not found,ARMS_Crete_1HERP_20190612_20191011_MF90
ARMS_Crete_1HERP_20190612_20191011_SF,arms_id,fail,not found,ARMS_Crete_1HERP_20190612_20191011_SF
ARMS_Crete_1HERP_20190612_20200210_MF500,arms_id,fail,not found,ARMS_Crete_1HERP_20190612_20200210_MF500
ARMS_Crete_1HERP_20190612_20200210_MF90,arms_id,fail,not found,ARMS_Crete_1HERP_20190612_20200210_MF90
ARMS_Crete_1HERP_20190612_20200210_SF,arms_id,fail,not found,ARMS_Crete_1HERP_20190612_20200210_SF
ARMS_Crete_1HERP_20190612_20200618_MF500,arms_id,fail,not found,ARMS_Crete_1HERP_20190612_20200618_MF500
ARMS_Crete_1HERP_20190612_20200618_MF90,arms_id,fail,not found,ARMS_Crete_1HERP_20190612_20200618_MF90
ARMS_Crete_1HERP_20190612_20200618_SF,arms_id,fail,not found,ARMS_Crete_1HERP_20190612_20200618_SF
ARMS_Crete_1HERP_20200903_20210122_MF500,arms_id,fail,not found,ARMS_Crete_1HERP_20200903_20210122_MF500
ARMS_Crete_1HERP_20200903_20210122_MF90,arms_id,fail,not found,ARMS_Crete_1HERP_20200903_20210122_MF90
ARMS_Crete_1HERP_20200903_20210122_SF,arms_id,fail,not found,ARMS_Crete_1HERP_20200903_20210122_SF
ARMS_Crete_1HERP_20200903_20210626_MF500,arms_id,fail,not found,ARMS_Crete_1HERP_20200903_20210626_MF500
ARMS_Crete_1HERP_20200903_20210626_MF90,arms_id,fail,not found,ARMS_Crete_1HERP_20200903_20210626_MF90
ARMS_Crete_1HERP_20200903_20210626_SF,arms_id,fail,not found,ARMS_Crete_1HERP_20200903_20210626_SF
ARMS_Crete_1HERP_20200903_20211012_MF500,arms_id,fail,not found,ARMS_Crete_1HERP_20200903_20211012_MF500
ARMS_Crete_1HERP_20200903_20211012_MF90,arms_id,fail,not found,ARMS_Crete_1HERP_20200903_20211012_MF90
ARMS_Crete_1HERP_20200903_20211012_SF,arms_id,fail,not found,ARMS_Crete_1HERP_20200903_20211012_SF
ARMS_Crete_2UBPC_20190924_20201211_MF500,arms_id,fail,not found,ARMS_Crete_2UBPC_20190924_20201211_MF500
ARMS_Crete_2UBPC_20190924_20201211_MF90,arms_id,fail,not found,ARMS_Crete_2UBPC_20190924_20201211_MF90
ARMS_Crete_2UBPC_20190924_20201211_SF,arms_id,fail,not found,ARMS_Crete_2UBPC_20190924_20201211_SF
ARMS_Crete_2UBPC_20201120_20220901_SF,arms_id,fail,not found,ARMS_Crete_2UBPC_20201120_20220901_SF
ARMS_Crete_2UBPC_20201120_20220901_MF90,arms_id,fail,not found,ARMS_Crete_2UBPC_20201120_20220901_MF90
ARMS_Crete_2UBPC_20201120_20220901_MF500,arms_id,fail,not found,ARMS_Crete_2UBPC_20201120_20220901_MF500
ARMS_Eilat_Katza1_20181024_20200607_MF100,arms_id,fail,not found,ARMS_Eilat_Katza1_20181024_20200607_MF100
ARMS_Eilat_Katza1_20181024_20200607_MF500,arms_id,fail,not found,ARMS_Eilat_Katza1_20181024_20200607_MF500
ARMS_Eilat_Katza1_20181024_20200607_SF45,arms_id,fail,not found,ARMS_Eilat_Katza1_20181024_20200607_SF45
ARMS_Eilat_Katza2_20181024_20200803_MF100,arms_id,fail,not found,ARMS_Eilat_Katza2_20181024_20200803_MF100
ARMS_Eilat_Katza2_20181024_20200803_MF500,arms_id,fail,not found,ARMS_Eilat_Katza2_20181024_20200803_MF500
ARMS_Eilat_Katza2_20181024_20200803_SF45,arms_id,fail,not found,ARMS_Eilat_Katza2_20181024_20200803_SF45
ARMS_Eilat_NR1_20181017_20200204_MF100,arms_id,fail,not found,ARMS_Eilat_NR1_20181017_20200204_MF100
ARMS_Eilat_NR1_20181017_20200204_MF500,arms_id,fail,not found,ARMS_Eilat_NR1_20181017_20200204_MF500
ARMS_Eilat_NR1_20181017_20200204_SF45,arms_id,fail,not found,ARMS_Eilat_NR1_20181017_20200204_SF45
ARMS_Eilat_NR2_20181017_20200524_MF100,arms_id,fail,not found,ARMS_Eilat_NR2_20181017_20200524_MF100
