Station,Country,ARMS_unit,Latitude,Longitude,Depth,Date_start,Date_end,Event_ID,Event_Description,IUCN_Habitat_type,Material Samples,Observations,Sequences,Associated Data,Created,Updated
Gdynia,Poland,GDY1,54.48522000,18.57111000,4,2018-08-13,2019-10-29,ARMS_Gdynia_GDY1_20180813_20191029,Natural stony reefs in the littoral zone (pebbles and boulders on sandy bottom),9.3 - Subtidal Loose Rock/Pebble/Gravel,0,0,0,118,2019-11-11,2021-12-09
Gdynia,Poland,GDY1,54.48522000,18.57111000,4,2020-06-10,2021-12-22,ARMS_Gdynia_GDY1_20200610_20211222,Natural stony reefs in the littoral zone (pebbles and boulders on sandy bottom),9.3 - Subtidal Loose Rock/Pebble/Gravel,0,0,0,18,2020-11-06,2022-07-06
Gdynia,Poland,GDY1,54.48522000,18.57111000,4,2019-06-19,2019-10-29,ARMS_Gdynia_GDY1_20190619_20191029,Natural stony reefs in the littoral zone (pebbles and boulders on sandy bottom),9.3 - Subtidal Loose Rock/Pebble/Gravel,0,0,0,154,2019-12-05,2022-07-06
Gdynia,Poland,GDY1,54.48522000,18.57111000,4,2021-04-27,2022-10,ARMS_Gdynia_GDY1_20210427_00000000,Natural stony reefs in the littoral zone (pebbles and boulders on sandy bottom),9.3 - Subtidal Loose Rock/Pebble/Gravel,0,0,0,0,2022-07-06,2022-07-06
