OTUID,taxonomicClassificationOrig,Domain,Supergroup,Division/Kingdom,Phylum/Class,Level_X,Level_XX,Level_XXX,Level_XXXX,Level_XXXXX,genus_species
Otu155,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Diarthrodes;Diarthrodes (genus);Unknown Diarthrodes (genus) species 1,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Diarthrodes,NA,NA,NA
Otu938,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Unknown Maxillopoda family 17,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,NA,NA,NA,NA
Otu939,Main genome;Eukaryota;Rhizaria;Cercozoa;Endomyxa;Vampyrellida,Eukaryota,Rhizaria,Cercozoa,Endomyxa,Vampyrellida,NA,NA,NA,NA,NA
Otu930,Main genome;Eukaryota;Alveolata;Chrompodellids;Colpodellidea;Colpodellida;Colpodellaceae;Colpodellidae;Colpodellidae (genus);Unknown Colpodellidae (genus) species 1,Eukaryota,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Colpodellaceae,Colpodellidae,NA,NA,NA
Otu931,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Lecudinidae;Lecudinidae (family);X (Lecudinidae (family));Lecudinidae (X (Lecudinidae (family)));X (Lecudinidae (X (Lecudinidae (family))));sp. (X (Lecudinidae (X (Lecudinidae (family))))),Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Lecudinidae,NA,NA,NA,NA
Otu932,Main genome;Eukaryota;Opisthokonta;Metazoa;Nematoda;Chromadorea;Chromadorea (order);Unknown Chromadorea (order) family 6,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,NA,NA,NA,NA,NA
Otu933,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Pectinoida,Eukaryota,Opisthokonta,Metazoa,Mollusca,Bivalvia,Pectinoida,NA,NA,NA,NA
Otu934,Main genome;Eukaryota;Opisthokonta;Metazoa;Nematoda;Chromadorea;Chromadorea (order);Unknown Chromadorea (order) family 7,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,NA,NA,NA,NA,NA
Otu935,Main genome;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Euduboscquella;Euduboscquella (genus),Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-4,Euduboscquella,NA,NA,NA
Otu936,Main genome;Eukaryota;Alveolata;Apicomplexa;Coccidiomorphea;Marosporida;Margolisiellidae;Margolisiellidae (family);X (Margolisiellidae (family));Margolisiellidae (X (Margolisiellidae (family)));X (Margolisiellidae (X (Margolisiellidae (family))));sp. (X (Margolisiellidae (X (Margolisiellidae (family))))),Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Marosporida,Margolisiellidae,NA,NA,NA,NA
Otu937,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Chelicerata;Pycnogonida;Ammothella;Ammothella (genus);spinifera (Ammothella (genus)),Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Pycnogonida,Ammothella,NA,NA,NA
