Material_Sample_ID,Parent_Event_ID,Description,Created_At,Updated_At,Sequences,Associated data
ARMS_Bodo_GStraB_20190621_20201207_MF500,ARMS_Bodo_GStraB_20190621_20201207,: Motile fraction/500 µm (MF500),2021-06-25,2023-08-28,0,21
ARMS_Bodo_GStraB_20190621_20201207_SF50_A,ARMS_Bodo_GStraB_20190621_20201207,Sessile fraction/50 µm (SF50); NOTE: 40 µm was not possible,2021-06-25,2023-08-28,0,21
ARMS_Bodo_GStraB_20190621_20201207_MF100,ARMS_Bodo_GStraB_20190621_20201207,Motile fraction/100 µm (MF100),2021-06-25,2023-08-28,0,21
ARMS_Bodo_GStraM_20190621_20201207_MF100,ARMS_Bodo_GStraM_20190621_20201207,,2021-06-25,2023-08-28,0,21
ARMS_Bodo_GStraM_20190621_20201207_SF50_A,ARMS_Bodo_GStraM_20190621_20201207,Sessile fraction/50 µm (SF50); NOTE: 40µm was not possible,2021-06-25,2023-08-28,0,21
ARMS_Bodo_GStraM_20190621_20201207_MF500,ARMS_Bodo_GStraM_20190621_20201207,Motile fraction/500 µm (MF500),2021-06-25,2023-08-28,0,21
