ObservatoryID,UnitID,EventID,Filename,Filetype,PlateNumber,Position,Download URL
BelgiumCoast,AZFPin,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ImageDescription_ARMS_BelgiumCoast_AZPFin_20180712_20180818_corrected.csv,Text,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/ED/B1/EDB14BBD77BA1589C27B468CD2C87206408DF43FD43880DA4136626D2B436F7A.csv
Crete,1HERP,ARMS_Crete_1HERP_20190612_20191011,BulkResizePhotos.html,Text,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/02/6B/026B28EFD4FAC13769693EC8349E9525BA811ADF0264E01FD38E27D309BED798.html
SWC,Gbg1,ARMS_SWC_Gbg1_20200206_20200520,ARMS_SwedishWestCoast_Gbg1_200206_200520.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/7A/60/7A60367B51D2870064A427D6EEF6856B06C2A21CB3520DA029A3D92D63715FD9.xlsx
Getxo,G1,ARMS_Getxo_G1_20200624_20201103,ManualObservationsARMS_Getxo_G1_2020.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/FE/4F/FE4FFE8B456ECE60DF33B2F41949D90C1AD82E96C60CF160A899A5925384744C.xlsx
Getxo,G3,ARMS_Getxo_G3_20190624_20191016,Taxaidentified.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/AF/F8/AFF8CB69438A967B6C54BB29D715F342709E34B34B02D3088E5644298E1DAD09.xlsx
Koster,VH1,ARMS_Koster_VH1_20190527_20200716,ManualObservations_ARMS_KOSTER_VH1_190527-200716_v1.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/D5/63/D563C2A5C7BC9BAEA270C2B2482C0B92FC52BD2B5C0726D3724866A2318B0CE2.xlsx
Svalbard,S1,ARMS_Svalbard_S1_20180706_20190806,List of samples and plates with photo numbers2019 S1.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/7A/85/7A855158E19C86798F3F4DC388B92F0FCC029325F8742B1E9C15422DE8F170C0.xlsx
TZS,Spikarna,ARMS_TZS_Spikarna_20180711_20181107,ManualObservations_Spikarna_180711-181107_uploadVersion_2.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/52/4A/524A8ABE3C7C6244CC95A8373E74B5ED60DF52FE8ADDB118F930F5DA49C116F7.xlsx
SWC,Varberg1,ARMS_SWC_Varberg1_20200213_20200603,ARMS_SwedishWestCoast_Varberg1_200213_200603.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/78/2E/782E421A406FBE527C5070CE3C951BD6C8AF1DED63ED1E117C59A926D29C12A6.xlsx
SWC,Gbg3,ARMS_SWC_Gbg3_20200206_20200529,ARMS_SwedishWestCoast_Gbg3_200206_200529.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/26/61/266152DB1A28D89CE7311B987D4DA77E1BAEEB293E57C0A0B5E8690099E13233.xlsx
SWC,Marstrand3,ARMS_SWC_Marstrand3_20200228_20200527,ARMS_SwedishWestCoast_Marstrand3_200228_200527.xlsx,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/30/8C/308C16C2B3C2A71EF822BB2481AA9E8977459D9433DDBF97AAACE5B38380EF27.xlsx
Plymouth,MBA1C,ARMS_Plymouth_MBA1C_20190716_20190920,Image log and notes_MBA1C_2019.pdf,Application,Not Provided,Not Provided,https://files.plutof.ut.ee/public/orig/56/46/5646592CB2E6D78B7E1FBD622C87FD4868FE71CC434AB514BE1043A85AB57089.pdf
