MaterialSample-ID,AreaReplicateID (ARMS unit area replicates),TechnicalReplicateID (material replicates for sequencing purposes)
ARMS_SWC_Helsingborg1_20200305_20200604_SF40,no replicate,no replicate
ARMS_SWC_Helsingborg2_20200305_20200604_MF100,no replicate,no replicate
ARMS_SWC_Helsingborg2_20200305_20200604_MF500,no replicate,no replicate
ARMS_SWC_Helsingborg2_20200305_20200604_SF40,no replicate,no replicate
ARMS_SWC_Hjuvik1_20200131_20200518_MF100,no replicate,no replicate
ARMS_SWC_Hjuvik1_20200131_20200518_MF500,no replicate,no replicate
ARMS_SWC_Hjuvik1_20200131_20200518_SF40,no replicate,no replicate
ARMS_SWC_Marstrand1_20200228_20200527_MF100,no replicate,no replicate
ARMS_SWC_Marstrand1_20200228_20200527_MF500,no replicate,no replicate
ARMS_SWC_Marstrand1_20200228_20200527_SF40,no replicate,no replicate
ARMS_SWC_Marstrand2_20200228_20200527_MF100,no replicate,no replicate
ARMS_SWC_Marstrand2_20200228_20200527_MF500,no replicate,no replicate
ARMS_SWC_Marstrand2_20200228_20200527_SF40,no replicate,no replicate
ARMS_SWC_Marstrand3_20200228_20200527_MF100,no replicate,no replicate
ARMS_SWC_Marstrand3_20200228_20200527_MF500,no replicate,no replicate
ARMS_SWC_Marstrand3_20200228_20200527_SF40,no replicate,no replicate
ARMS_SWC_Preemraff1_20200401_20200715_MF100,no replicate,no replicate
ARMS_SWC_Preemraff1_20200401_20200715_MF500,no replicate,no replicate
ARMS_SWC_Preemraff1_20200401_20200715_SF40,no replicate,no replicate
ARMS_SWC_Preemraff2_20200401_20200715_MF100,no replicate,no replicate
ARMS_SWC_Preemraff2_20200401_20200715_MF500,no replicate,no replicate
ARMS_SWC_Preemraff2_20200401_20200715_SF40,no replicate,no replicate
ARMS_SWC_Varberg1_20200213_20200603_MF100,ARMS_SWC_Varberg_20200213_20200603,no replicate
ARMS_SWC_Varberg1_20200213_20200603_MF500,ARMS_SWC_Varberg_20200213_20200603,no replicate
ARMS_SWC_Varberg1_20200213_20200603_SF40,ARMS_SWC_Varberg_20200213_20200603,no replicate
ARMS_SWC_Varberg2_20200213_20200603_MF100,ARMS_SWC_Varberg_20200213_20200603,no replicate
ARMS_SWC_Varberg2_20200213_20200603_MF500,ARMS_SWC_Varberg_20200213_20200603,no replicate
ARMS_SWC_Varberg2_20200213_20200603_SF40,ARMS_SWC_Varberg_20200213_20200603,no replicate
ARMS_SWC_Varberg3_20200213_20200603_MF100,ARMS_SWC_Varberg_20200213_20200603,no replicate
ARMS_SWC_Varberg3_20200213_20200603_MF500,ARMS_SWC_Varberg_20200213_20200603,no replicate
ARMS_SWC_Varberg3_20200213_20200603_SF40,ARMS_SWC_Varberg_20200213_20200603,no replicate
ARMS_TZS_Angbat_20180711_20181106_MF100_ETOH,no replicate,no replicate
ARMS_TZS_Angbat_20180711_20181106_MF500_ETOH,no replicate,no replicate
ARMS_TZS_Angbat_20180711_20181106_SF48_ETOH,no replicate,no replicate
ARMS_TZS_Angbat_20200608_20201117_MF100_ETOH,no replicate,no replicate
ARMS_TZS_Angbat_20200608_20201117_MF500_ETOH,no replicate,no replicate
ARMS_TZS_Angbat_20210608_20211124_SF40,no replicate,no replicate
ARMS_TZS_Angbat_20210608_20211124_MF100,no replicate,no replicate
ARMS_TZS_Angbat_20210608_20211124_MF500,no replicate,no replicate
ARMS_TZS_Angbat_20210609_20220630_SF40_ETOH,no replicate,no replicate
ARMS_TZS_Angbat_20210609_20220630_MF100_ETOH,no replicate,no replicate
ARMS_TZS_Angbat_20210609_20220630_MF500_ETOH,no replicate,no replicate
ARMS_TZS_Angbat_20200608_20201117_SF40_ETOH,no replicate,no replicate
ARMS_TZS_Kummelkobben_20200608_20201120_MF100_ETOH,no replicate,no replicate
ARMS_TZS_Kummelkobben_20200608_20201120_MF500_ETOH,no replicate,no replicate
ARMS_TZS_Kummelkobben_20200608_20201120_SF40_ETOH,no replicate,no replicate
ARMS_TZS_Kummelkobben_20210608_20211122_SF40,no replicate,no replicate
ARMS_TZS_Kummelkobben_20210608_20211122_MF100,no replicate,no replicate
ARMS_TZS_Kummelkobben_20210608_20211122_MF500,no replicate,no replicate
ARMS_TZS_Kummelkobben_20210609_20220622_SF40_ETOH,no replicate,no replicate
ARMS_TZS_Kummelkobben_20210609_20220622_MF100_ETOH,no replicate,no replicate
ARMS_TZS_Kummelkobben_20210609_20220622_MF500_ETOH,no replicate,no replicate
ARMS_TZS_Spikarna_20180711_20181107_MF100_ETOH,no replicate,no replicate
ARMS_TZS_Spikarna_20180711_20181107_MF500_ETOH,no replicate,no replicate
ARMS_TZS_Spikarna_20180711_20181107_SF48_ETOH,no replicate,no replicate
ARMS_TZS_Spikarna_20200608_20201118_MF100_ETOH,no replicate,no replicate
ARMS_TZS_Spikarna_20200608_20201118_MF500_ETOH,no replicate,no replicate
ARMS_TZS_Spikarna_20200608_20201118_SF40_ETOH,no replicate,no replicate
ARMS_TZS_Spikarna_20210607_20211122_SF40,no replicate,no replicate
ARMS_TZS_Spikarna_20210607_20211122_MF100,no replicate,no replicate
ARMS_TZS_Spikarna_20210607_20211122_MF500,no replicate,no replicate
ARMS_Vigo_TorallaA_20180607_20180924_MF100_ETOH,no replicate,no replicate
ARMS_Vigo_TorallaA_20180607_20180924_MF500_ETOH,no replicate,no replicate
ARMS_Vigo_TorallaA_20180607_20180924_SF40_ETOH,no replicate,no replicate
ARMS_Vigo_TorallaA_20190625_20191014_MF100,ARMS_Vigo_Toralla_20190625_20191014,no replicate
ARMS_Vigo_TorallaA_20190625_20191014_MF500,ARMS_Vigo_Toralla_20190625_20191014,no replicate
ARMS_Vigo_TorallaA_20190625_20191014_SF40,ARMS_Vigo_Toralla_20190625_20191014,no replicate
ARMS_Vigo_TorallaA_20200706_20201006_MF100,ARMS_Vigo_Toralla_20200706_20201006,no replicate
ARMS_Vigo_TorallaA_20200706_20201006_MF500,ARMS_Vigo_Toralla_20200706_20201006,no replicate
ARMS_Vigo_TorallaA_20200706_20201006_SF40,ARMS_Vigo_Toralla_20200706_20201006,no replicate
ARMS_Vigo_TorallaB_20190625_20191014_MF100,ARMS_Vigo_Toralla_20190625_20191014,no replicate
ARMS_Vigo_TorallaB_20190625_20191014_MF500,ARMS_Vigo_Toralla_20190625_20191014,no replicate
ARMS_Vigo_TorallaB_20190625_20191014_SF40,ARMS_Vigo_Toralla_20190625_20191014,no replicate
ARMS_Vigo_TorallaB_20200706_20201006_MF100,ARMS_Vigo_Toralla_20200706_20201006,no replicate
ARMS_Vigo_TorallaB_20200706_20201006_MF500,ARMS_Vigo_Toralla_20200706_20201006,no replicate
ARMS_Vigo_TorallaB_20200706_20201006_SF40,ARMS_Vigo_Toralla_20200706_20201006,no replicate
ARMS_Vigo_TorallaC_20190625_20191014_MF100,ARMS_Vigo_Toralla_20190625_20191014,no replicate
ARMS_Vigo_TorallaC_20190625_20191014_MF500,ARMS_Vigo_Toralla_20190625_20191014,no replicate
ARMS_Vigo_TorallaC_20190625_20191014_SF40,ARMS_Vigo_Toralla_20190625_20191014,no replicate
ARMS_Vigo_TorallaC_20200706_20201006_MF100,ARMS_Vigo_Toralla_20200706_20201006,no replicate
ARMS_Vigo_TorallaC_20200706_20201006_MF500,ARMS_Vigo_Toralla_20200706_20201006,no replicate
ARMS_Vigo_TorallaC_20200706_20201006_SF40,ARMS_Vigo_Toralla_20200706_20201006,no replicate
ARMS_GulfOfPiran_BojaVida_20200611_20210728_SF100_DMSO,no replicate,no replicate
ARMS_GulfOfPiran_BojaVida_20200611_20210728_SF40_DMSO,no replicate,no replicate
ARMS_GulfOfPiran_BojaVida_20200611_20210728_MF40_DMSO,no replicate,no replicate
ARMS_GulfOfPiran_LukaKP_20210622_20211027_SF100_DMSO,no replicate,no replicate
ARMS_GulfOfPiran_LukaKP_20210622_20211027_MF40_DMSO,no replicate,no replicate
ARMS_GulfOfPiran_LukaKP_20210622_20211027_SF40_DMSO,no replicate,no replicate
ARMS_GulfOfPiran_LukaKP_20210223_20210622_SF40_DMSO,no replicate,no replicate
ARMS_GulfOfPiran_LukaKP_20210223_20210622_MF40_DMSO,no replicate,no replicate
ARMS_TZS_Angbat_20180711_20181106_SF48_ETOH_r2,no replicate,ARMS_TZS_Angbat_20180711_20181106_SF48_ETOH
ARMS_Vigo_TorallaA_20190625_20191014_MF100_r2,ARMS_Vigo_Toralla_20190625_20191014,ARMS_Vigo_TorallaA_20190625_20191014_MF100
ARMS_Vigo_TorallaC_20190625_20191014_MF100_r2,ARMS_Vigo_Toralla_20190625_20191014,ARMS_Vigo_TorallaC_20190625_20191014_MF100
ARMS_Plymouth_MBA2_20180701_20181001_MF100_DMSO_r2,no replicate,ARMS_Plymouth_MBA2_20180701_20181001_MF100_DMSO
ARMS_Plymouth_MBA2_20180701_20181001_MF100_ETOH_r2,no replicate,ARMS_Plymouth_MBA2_20180701_20181001_MF100_ETOH
ARMS_Svalbard_S1_20180706_20190806_MF100_ETOH_r2,no replicate,ARMS_Svalbard_S1_20180706_20190806_MF100_ETOH
ARMS_Vigo_TorallaA_20190625_20191014_MF500_r2,ARMS_Vigo_Toralla_20190625_20191014,ARMS_Vigo_TorallaA_20190625_20191014_MF500
ARMS_Vigo_TorallaB_20190625_20191014_MF500_r2,ARMS_Vigo_Toralla_20190625_20191014,ARMS_Vigo_TorallaB_20190625_20191014_MF500
ARMS_Vigo_TorallaC_20190625_20191014_MF500_r2,ARMS_Vigo_Toralla_20190625_20191014,ARMS_Vigo_TorallaC_20190625_20191014_MF500
ARMS_Koster_VH2_20180418_20180906_PS90_ETOH_r2,no replicate,ARMS_Koster_VH2_20180418_20180906_PS90_ETOH
ARMS_Koster_VH1_20190527_20200716_MF100_r2,no replicate,ARMS_Koster_VH1_20190527_20200716_MF100
ARMS_Koster_VH1_20190527_20200716_MF500_r2,no replicate,ARMS_Koster_VH1_20190527_20200716_MF500
ARMS_GulfOfPiran_Fornace_20180815_20181118_MF500_ETOH_r2,no replicate,ARMS_GulfOfPiran_Fornace_20180815_20181118_MF500_ETOH
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r2,no replicate,ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO
ARMS_Eilat_Katza1_20181024_20200706_MF500_r2,no replicate,ARMS_Eilat_Katza1_20181024_20200706_MF500
ARMS_GulfOfPiran_Fornace_20180815_20181118_SF_ETOH_r2,no replicate,ARMS_GulfOfPiran_Fornace_20180815_20181118_SF_ETOH
ARMS_TZS_Angbat_20180711_20181106_SF48_ETOH_r1,no replicate,ARMS_TZS_Angbat_20180711_20181106_SF48_ETOH
ARMS_Vigo_TorallaA_20190625_20191014_MF100_r1,no replicate,ARMS_Vigo_TorallaA_20190625_20191014_MF100
ARMS_Vigo_TorallaC_20190625_20191014_MF100_r1,no replicate,ARMS_Vigo_TorallaC_20190625_20191014_MF100
ARMS_Plymouth_MBA2_20180701_20181001_MF100_DMSO_r1,no replicate,ARMS_Plymouth_MBA2_20180701_20181001_MF100_DMSO
ARMS_Plymouth_MBA2_20180701_20181001_MF100_ETOH_r1,no replicate,ARMS_Plymouth_MBA2_20180701_20181001_MF100_ETOH
ARMS_Svalbard_S1_20180706_20190806_MF100_ETOH_r1,no replicate,ARMS_Svalbard_S1_20180706_20190806_MF100_ETOH
ARMS_Vigo_TorallaA_20190625_20191014_MF500_r1,no replicate,ARMS_Vigo_TorallaA_20190625_20191014_MF500
ARMS_Vigo_TorallaB_20190625_20191014_MF500_r1,no replicate,ARMS_Vigo_TorallaB_20190625_20191014_MF500
ARMS_Vigo_TorallaC_20190625_20191014_MF500_r1,no replicate,ARMS_Vigo_TorallaC_20190625_20191014_MF500
ARMS_Koster_VH2_20180418_20180906_PS90_ETOH_r1,no replicate,ARMS_Koster_VH2_20180418_20180906_PS90_ETOH
ARMS_Koster_VH1_20190527_20200716_MF100_r1,no replicate,ARMS_Koster_VH1_20190527_20200716_MF100
ARMS_Koster_VH1_20190527_20200716_MF500_r1,no replicate,ARMS_Koster_VH1_20190527_20200716_MF500
ARMS_GulfOfPiran_Fornace_20180815_20181118_MF500_ETOH_r1,no replicate,ARMS_GulfOfPiran_Fornace_20180815_20181118_MF500_ETOH
ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO_r1,no replicate,ARMS_Gdynia_GDY1_20180813_20191029_SF38_DMSO
ARMS_Eilat_Katza1_20181024_20200706_MF500_r1,no replicate,ARMS_Eilat_Katza1_20181024_20200706_MF500
ARMS_GulfOfPiran_Fornace_20180815_20181118_SF_ETOH_r1,no replicate,ARMS_GulfOfPiran_Fornace_20180815_20181118_SF_ETOH
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,ARMS_Bodo_GStra_20190621_20201207,
,ARMS_Bodo_GStra_20190621_20201207,
,ARMS_Bodo_GStra_20190621_20201207,
,ARMS_Bodo_GStra_20190621_20201207,
,ARMS_Bodo_GStra_20190621_20201207,
,ARMS_Bodo_GStra_20190621_20201207,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,ARMS_Eilat_NR_20181017_20200204,
,ARMS_Eilat_NR_20181017_20200204,
,ARMS_Eilat_NR_20181017_20200204,
,ARMS_Eilat_NR_20181017_20200204,
,ARMS_Eilat_NR_20181017_20200204,
,ARMS_Eilat_NR_20181017_20200204,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,ARMS_Getxo_G_20190624_20191016,
,ARMS_Getxo_G_20190624_20191016,
,ARMS_Getxo_G_20190624_20191016,
,ARMS_Getxo_G_20200624_20201103,
,ARMS_Getxo_G_20200624_20201103,
,ARMS_Getxo_G_20200624_20201103,
,ARMS_Getxo_G_20190624_20191016,
,ARMS_Getxo_G_20190624_20191016,
,ARMS_Getxo_G_20190624_20191016,
,ARMS_Getxo_G_20200624_20201103,
,ARMS_Getxo_G_20200624_20201103,
,ARMS_Getxo_G_20190624_20191016,
,ARMS_Getxo_G_20190624_20191016,
,ARMS_Getxo_G_20190624_20191016,
,ARMS_Getxo_G_20200624_20201103,
,ARMS_Getxo_G_20200624_20201103,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,ARMS_Laeso_Laeso_20190819_20200811,
,ARMS_Laeso_Laeso_20190819_20200811,
,ARMS_Laeso_Laeso_20190819_20200811,
,ARMS_Laeso_Laeso_20190819_20200811,
,ARMS_Laeso_Laeso_20190819_20200811,
,ARMS_Laeso_Laeso_20190819_20200811,
,ARMS_Laeso_Laeso_20190819_20200811,
,ARMS_Laeso_Laeso_20190819_20200811,
,ARMS_Laeso_Laeso_20190819_20200811,
,ARMS_Limfjord_Limfjord_20190618_20191029,
,ARMS_Limfjord_Limfjord_20190618_20191029,
,ARMS_Limfjord_Limfjord_20190618_20191029,
,ARMS_Limfjord_Limfjord_20191029_20201110,
,ARMS_Limfjord_Limfjord_20191029_20201110,
,ARMS_Limfjord_Limfjord_20191029_20201110,
,ARMS_Limfjord_Limfjord_20201110_20211115,
,ARMS_Limfjord_Limfjord_20201110_20211115,
,ARMS_Limfjord_Limfjord_20201110_20211115,
,ARMS_Limfjord_Limfjord_20201110_20211115,
,ARMS_Limfjord_Limfjord_20201110_20211115,
,ARMS_Limfjord_Limfjord_20201110_20211115,
,ARMS_Limfjord_Limfjord_20191029_20201110,
,ARMS_Limfjord_Limfjord_20191029_20201110,
,ARMS_Limfjord_Limfjord_20191029_20201110,
,ARMS_Limfjord_Limfjord_20201110_20211115,
,ARMS_Limfjord_Limfjord_20201110_20211115,
,ARMS_Limfjord_Limfjord_20201110_20211115,
,ARMS_Limfjord_Limfjord_20190618_20191029,
,ARMS_Limfjord_Limfjord_20190618_20191029,
,ARMS_Limfjord_Limfjord_20190618_20191029,
,ARMS_Limfjord_Limfjord_20190618_20191029,
,ARMS_Limfjord_Limfjord_20190618_20191029,
,ARMS_Limfjord_Limfjord_20190618_20191029,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,ARMS_Plymouth_MBA1_20190716_20190916,
,ARMS_Plymouth_MBA1_20190716_20190916,
,ARMS_Plymouth_MBA1_20190716_20190916,
,ARMS_Plymouth_MBA1_20200717_20200921,
,ARMS_Plymouth_MBA1_20200717_20200921,
,ARMS_Plymouth_MBA1_20200717_20200921,
,ARMS_Plymouth_MBA1_20190716_20190916,
,ARMS_Plymouth_MBA1_20190716_20190916,
,ARMS_Plymouth_MBA1_20190716_20190916,
,ARMS_Plymouth_MBA1_20200717_20200921,
,ARMS_Plymouth_MBA1_20200717_20200921,
,ARMS_Plymouth_MBA1_20200717_20200921,
,ARMS_Plymouth_MBA1_20190716_20190916,
,ARMS_Plymouth_MBA1_20190716_20190916,
,ARMS_Plymouth_MBA1_20190716_20190916,
,ARMS_Plymouth_MBA1_20200717_20200921,
,ARMS_Plymouth_MBA1_20200717_20200921,
,ARMS_Plymouth_MBA1_20200717_20200921,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,ARMS_RavHarbour_RavH_20210422_20210722,
,ARMS_RavHarbour_RavH_20210422_20210722,
,ARMS_RavHarbour_RavH_20210422_20210722,
,ARMS_RavHarbour_RavH_20210422_20210722,
,ARMS_RavHarbour_RavH_20210422_20210722,
,ARMS_RavHarbour_RavH_20210422_20210722,
,ARMS_RavHarbour_RavH_20210422_20210722,
,ARMS_RavHarbour_RavH_20210422_20210722,
,ARMS_RavHarbour_RavH_20210422_20210722,
,ARMS_RavMarina_RavM_20210422_20210722,
,ARMS_RavMarina_RavM_20210422_20210722,
,ARMS_RavMarina_RavM_20210422_20210722,
,ARMS_RavMarina_RavM_20210422_20210722,
,ARMS_RavMarina_RavM_20210422_20210722,
,ARMS_RavMarina_RavM_20210422_20210722,
,ARMS_RavMarina_RavM_20210422_20210722,
,ARMS_RavMarina_RavM_20210422_20210722,
,ARMS_RavMarina_RavM_20210422_20210722,
,ARMS_Roscoff_BasBloS_20180711_20181025,
,ARMS_Roscoff_BasBloS_20180711_20181025,
,ARMS_Roscoff_BasBloS_20180711_20181025,
,ARMS_Roscoff_BasBloS_20180711_20181025,
,ARMS_Roscoff_BasBloS_20180711_20181025,
,ARMS_Roscoff_BasBloS_20180711_20181025,
,ARMS_Roscoff_BasBloS_20190612_20200527,
,ARMS_Roscoff_BasBloS_20190612_20200527,
,ARMS_Roscoff_BasBloS_20190612_20200527,
,ARMS_Roscoff_BasBloS_20190612_20200527,
,ARMS_Roscoff_BasBloS_20190612_20200527,
,ARMS_Roscoff_BasBloS_20190612_20200527,
,ARMS_Roscoff_BasBloS_20190612_20200527,
,ARMS_Roscoff_BasBloS_20190612_20200527,
,ARMS_Roscoff_BasBloS_20190612_20200527,
,ARMS_Roscoff_MarBloR_20180709_20181024,
,ARMS_Roscoff_MarBloR_20180709_20181024,
,ARMS_Roscoff_MarBloR_20180709_20181024,
,ARMS_Roscoff_MarBloR_20180709_20181024,
,ARMS_Roscoff_MarBloR_20180709_20181024,
,ARMS_Roscoff_MarBloR_20180709_20181024,
,ARMS_Roscoff_MarBloR_20190612_20190916,
,ARMS_Roscoff_MarBloR_20190612_20190916,
,ARMS_Roscoff_MarBloR_20190612_20190916,
,ARMS_Roscoff_MarBloR_20190612_20190916,
,ARMS_Roscoff_MarBloR_20190612_20190916,
,ARMS_Roscoff_MarBloR_20190612_20190916,
,ARMS_Roscoff_MarBloR_20190612_20190916,
,ARMS_Roscoff_MarBloR_20190612_20190916,
,ARMS_Roscoff_MarBloR_20190612_20190916,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,ARMS_SWC_Varberg_20200213_20200603,
,ARMS_SWC_Varberg_20200213_20200603,
,ARMS_SWC_Varberg_20200213_20200603,
,ARMS_SWC_Varberg_20200213_20200603,
,ARMS_SWC_Varberg_20200213_20200603,
,ARMS_SWC_Varberg_20200213_20200603,
,ARMS_SWC_Varberg_20200213_20200603,
,ARMS_SWC_Varberg_20200213_20200603,
,ARMS_SWC_Varberg_20200213_20200603,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,ARMS_Vigo_Toralla_20190625_20191014,
,ARMS_Vigo_Toralla_20190625_20191014,
,ARMS_Vigo_Toralla_20190625_20191014,
,ARMS_Vigo_Toralla_20200706_20201006,
,ARMS_Vigo_Toralla_20200706_20201006,
,ARMS_Vigo_Toralla_20200706_20201006,
,ARMS_Vigo_Toralla_20190625_20191014,
,ARMS_Vigo_Toralla_20190625_20191014,
,ARMS_Vigo_Toralla_20190625_20191014,
,ARMS_Vigo_Toralla_20200706_20201006,
,ARMS_Vigo_Toralla_20200706_20201006,
,ARMS_Vigo_Toralla_20200706_20201006,
,ARMS_Vigo_Toralla_20190625_20191014,
,ARMS_Vigo_Toralla_20190625_20191014,
,ARMS_Vigo_Toralla_20190625_20191014,
,ARMS_Vigo_Toralla_20200706_20201006,
,ARMS_Vigo_Toralla_20200706_20201006,
,ARMS_Vigo_Toralla_20200706_20201006,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,ARMS_Vigo_Toralla_20190625_20191014,
,ARMS_Vigo_Toralla_20190625_20191014,
,no replicate,
,no replicate,
,no replicate,
,ARMS_Vigo_Toralla_20190625_20191014,
,ARMS_Vigo_Toralla_20190625_20191014,
,ARMS_Vigo_Toralla_20190625_20191014,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
,no replicate,
