Station,Country,ARMS_unit,Latitude,Longitude,Depth,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Data,Created,Updated
Eilat,Israel,EilatNR2,29.50555000,34.92027800,10,2018-10-17,2020-05-24,ARMS_Eilat_EilatNR2_20181017_20200524,0,0,0,183,2020-08-04,2022-10-28
Eilat,Israel,EilatNR1,29.50555000,34.92027800,10,2020-12-27,,ARMS_Eilat_EilatNR1_00000000_00000000,0,0,0,0,2020-12-16,2021-01-05
Eilat,Israel,EilatNR1,29.50555000,34.92027800,10,2020-12-27,,ARMS_Eilat_EilatNR1_00000000_00000000,0,0,0,0,2021-01-05,2021-01-05
Eilat,Israel,EilatNR1,29.50555000,34.92027800,10,2018-10-17,2020-02-04,ARMS_Eilat_EilatNR1_20181017_20200204,0,0,0,151,2019-11-11,2022-11-01
Eilat,Israel,EilatKatza2,29.52000000,34.93444400,10,2018-10-24,2020-08-03,ARMS_Eilat_EilatKatza2_20181024_20200803,0,0,0,231,2020-08-04,2022-10-28
Eilat,Israel,EilatKatza1,29.52000000,34.93444400,10,2018-10-24,2020-07-06,ARMS_Eilat_EilatKatza1_20181024_20200706,0,0,0,213,2019-11-11,2020-09-15
