EventID,Country,Observatory-ID,ARMS-ID,Latitude,Longitude,Depth (m),Deployment Date,Collection Date,Fraction,Preservative,Filter (micrometer),MaterialSample-ID,OriginalSample-ID,gene_COI,gene_COI_negative_control,gene_ITS,gene_ITS_negative_control,gene_18S,gene_18S_negative_control
ARMS_Bodo_GStraM_20190621_20201207,Norway,Bodo,GStraM,67.240217,14.711533,2,2019-06-21,2020-12-07,Motile,DMSO,500,ARMS_Bodo_GStraM_20190621-20201207_MF500,ARMS_Bodo_GStraM_190621-201207_MF500,ERR9632094,ERR9632065,no longer provided,no longer provided,ERR9632079,ERR9632062
ARMS_Bodo_GStraM_20190621_20201207,Norway,Bodo,GStraM,67.240217,14.711533,2,2019-06-21,2020-12-07,Sessile,DMSO,50,ARMS_Bodo_GStraM_20190621-20201207_SF50_Α,ARMS_Bodo_GStraM_190621-201207_SF50_Α,ERR9632092,ERR9632065,no longer provided,no longer provided,ERR9632077,ERR9632062
ARMS_Crete_1HERP_20180928_20190128,Greece,Crete,1HERP,35.343153,25.136605,4,2018-09-28,2019-01-28,Motile,DMSO,125,ARMS_Crete_1HERP_20180928_20190128_MF125_DMSO,Motile 125 μm DMSO,ERR9632063,ERR9632065,no longer provided,no longer provided,ERR9632060,ERR9632062
ARMS_Crete_1HERP_20180928_20190128,Greece,Crete,1HERP,35.343153,25.136605,4,2018-09-28,2019-01-28,Motile,EtOH,125,ARMS_Crete_1HERP_20180928_20190128_MF125_ETOH,Motile 125 μm ETOH,ERR9632064,ERR9632065,no longer provided,no longer provided,ERR9632061,ERR9632062
ARMS_Crete_1HERP_20180928_20190128,Greece,Crete,1HERP,35.343153,25.136605,4,2018-09-28,2019-01-28,Motile,DMSO,500,ARMS_Crete_1HERP_20180928_20190128_MF500_DMSO,Motile 500 μm DMSO,ERR3460468,ERR3460471,ERR4018431,ERR4018475,ERR4605086,ERR4605902
ARMS_Crete_1HERP_20180928_20190128,Greece,Crete,1HERP,35.343153,25.136605,4,2018-09-28,2019-01-28,Motile,EtOH,500,ARMS_Crete_1HERP_20180928_20190128_MF500_ETOH,Motile 500 μm ETOH,ERR3460469,ERR3460471,ERR4018432,ERR4018475,ERR4605087,ERR4605902
ARMS_Crete_1HERP_20180928_20190128,Greece,Crete,1HERP,35.343153,25.136605,4,2018-09-28,2019-01-28,Plankton,EtOH,250,ARMS_Crete_1HERP_20180928_20190128_PS250_ETOH,Plankton Her Port ETOH,failed,failed,ERR4018434,ERR4018475,ERR4605089,ERR4605902
ARMS_Crete_1HERP_20180928_20190128,Greece,Crete,1HERP,35.343153,25.136605,4,2018-09-28,2019-01-28,Sediment,Frozen,none,ARMS_Crete_1HERP_20180928_20190128_SED,Sediment Her Port,ERR3460470,ERR3460471,ERR4018433,ERR4018475,ERR4605088,ERR4605902
ARMS_Crete_1HERP_20180928_20190128,Greece,Crete,1HERP,35.343153,25.136605,4,2018-09-28,2019-01-28,Sessile,DMSO,none,ARMS_Crete_1HERP_20180928_20190128_SF_DMSO,Sessile DMSO,ERR3460466,ERR3460471,ERR4018429,ERR4018475,ERR4605084,ERR4605902
ARMS_Crete_1HERP_20180928_20190128,Greece,Crete,1HERP,35.343153,25.136605,4,2018-09-28,2019-01-28,Sessile,EtOH,none,ARMS_Crete_1HERP_20180928_20190128_SF_ETOH,Sessile ETOH,ERR3460467,ERR3460471,ERR4018430,ERR4018475,ERR4605085,ERR4605902
ARMS_Crete_1HERP_20190612_20191011,Greece,Crete,1HERP,35.343153,25.136605,4,2019-06-12,2019-10-11,Motile,Frozen,500,ARMS_Crete_1HERP_20190612_20191011_MF500,2019_1HERP_ARMS2_MF500,ERR7125537,ERR7125534,ERR7125538,ERR7125535,ERR7125536,ERR7125533
ARMS_Crete_1HERP_20190612_20191011,Greece,Crete,1HERP,35.343153,25.136605,4,2019-06-12,2019-10-11,Motile,Frozen,90,ARMS_Crete_1HERP_20190612_20191011_MF90,2019_1HERP_ARMS2_MF90,ERR7125540,ERR7125534,ERR7125541,ERR7125535,ERR7125539,ERR7125533
