AphiaID,rank,scientificname,child_id
1,Superdomain,Biota,2
2,Kingdom,Animalia,799
799,Phylum,Nematoda,731848
731848,Class,Chromadorea,2134
2134,Subclass,Chromadoria,2143
2143,Order,Rhabditida,227112
227112,Suborder,Rhabditida incertae sedis,227141
227141,Family,Chambersiellidae,1318832
1318832,Subfamily,Macrolaiminae,1318836
1318836,Genus,Fescia,
