Station,Country,ARMS_unit,Latitude,Longitude,Depth_min,Depth_max,Date_start,Date_end,Event_ID,Material Samples,Observations,Sequences,Associated Data,Created,Updated
Roscoff,France,BasBloS2,48.72872000,-3.95894000,12,12,2020-05-29,2021-05-19,ARMS_Roscoff_BasBloS2_20200529_20210519,0,0,0,0,2020-12-15,2023-03-22
Roscoff,France,BasBloS2,48.72872000,-3.95894000,12,12,2019-06-12,2020-05-28,ARMS_Roscoff_BasBloS2_20190612_20200528,0,0,0,0,2019-11-25,2023-11-13
Roscoff,France,BasBloS2,48.72872000,-3.95894000,12,12,2021-05-19,2022-05-12,ARMS_Roscoff_BasBloS2_20210519_20220512,0,0,0,0,2024-09-02,2024-09-02
Plymouth,United Kingdom,MBA2,50.35013400,-4.15916700,10.1,10.1,2018-07-01,2018-10-01,ARMS_Plymouth_MBA2_20180701_20181001,0,0,0,27,2019-11-05,2023-11-13
Plymouth,United Kingdom,MBA1,50.36740000,-4.15520000,1,1,2018-07-01,2018-10-01,ARMS_Plymouth_MBA1_20180701_20181001,0,0,0,24,2019-11-05,2022-01-24
Plymouth,United Kingdom,MBA1A,50.36730000,-4.15540000,2,2,2019-07-16,2019-09-16,ARMS_Plymouth_MBA1A_20190716_20190916,0,0,0,21,2019-11-22,2022-01-24
Plymouth,United Kingdom,MBA1A,50.36730000,-4.15540000,2,2,2020-07-17,2020-09-21,ARMS_Plymouth_MBA1A_20200717_20200921,0,0,0,17,2020-09-15,2023-11-13
Plymouth,United Kingdom,MBA1B,50.36680000,-4.15610000,2,2,2019-07-16,2019-09-18,ARMS_Plymouth_MBA1B_20190716_20190918,0,0,0,25,2019-11-22,2022-01-24
Plymouth,United Kingdom,MBA1B,50.36680000,-4.15610000,2,2,2020-07-17,2020-09-22,ARMS_Plymouth_MBA1B_20200717_20200922,0,0,0,18,2020-09-15,2020-12-16
Plymouth,United Kingdom,MBA1C,50.36740000,-4.15440000,2,2,2020-07-17,2020-09-23,ARMS_Plymouth_MBA1C_20200717_20200923,0,0,0,18,2020-09-15,2020-12-16
Plymouth,United Kingdom,MBA1C,50.36740000,-4.15440000,2,2,2019-07-16,2019-09-20,ARMS_Plymouth_MBA1C_20190716_20190920,0,0,0,24,2019-11-22,2022-01-24
TZS,Finland,Spikarna,59.81094000,23.20621600,3,3,2021-06-07,2021-11-22,ARMS_TZS_Spikarna_20210607_20211122,0,0,0,18,2023-03-31,2023-04-27
TZS,Finland,Spikarna,59.81094000,23.20621600,3,3,2020-06-08,2020-11-18,ARMS_TZS_Spikarna_20200608_20201118,0,0,0,114,2020-11-27,2023-10-26
TZS,Finland,Spikarna,59.81094000,23.20621600,3,3,2018-07-11,2018-11-07,ARMS_TZS_Spikarna_20180711_20181107,0,0,0,111,2019-11-11,2024-02-13
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2024-04-11,2024-10-01,ARMS_TZS_Angbat_20240411_20241001,0,0,0,0,2024-08-20,2024-10-03
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2023-06-29,2024-06-18,ARMS_TZS_Angbat_20230629_20240618,0,0,0,0,2023-06-29,2024-08-20
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2021-06-08,2021-11-24,ARMS_TZS_Angbat_20210608_20211124,0,0,0,19,2023-03-31,2023-04-27
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2023-04-18,2023-09-27,ARMS_TZS_Angbat_20230418_20230927,0,0,0,106,2023-04-27,2023-10-26
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2023-04-18,2023-09-26,ARMS_TZS_Angbat_20230418_20230926,0,0,0,104,2023-04-27,2023-10-26
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2022-06-22,2022-11-22,ARMS_TZS_Angbat_20220622_20221122,0,0,0,0,2023-04-27,2023-04-27
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2021-06-09,2022-06-30,ARMS_TZS_Angbat_20210609_20220630,0,0,0,0,2023-03-31,2023-04-27
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2022-06-30,2023-06-07,ARMS_TZS_Angbat_20220630_20230607,0,0,0,109,2023-04-27,2023-10-04
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2020-06-08,2020-11-17,ARMS_TZS_Angbat_20200608_20201117,0,0,0,109,2020-11-27,2024-02-13
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2018-07-11,2018-11-06,ARMS_TZS_Angbat_20180711_20181106,0,0,0,105,2019-11-11,2024-02-13
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2023-10-09,2024-04-11,ARMS_TZS_Angbat_20231009_20240411,0,0,0,0,2023-10-09,2024-04-24
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2023-10-09,2024-04-09,ARMS_TZS_Angbat_20231009_20240409,0,0,0,0,2023-10-09,2024-04-24
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2023-10-09,2024-04-10,ARMS_TZS_Angbat_20231009_20240410,0,0,0,0,2023-10-09,2024-04-24
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2023-04-18,2023-09-28,ARMS_TZS_Angbat_20230418_20230928,0,0,0,108,2023-04-27,2024-03-01
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2024-10-04,,ARMS_TZS_Angbat_20241004_00000000,0,0,0,0,2024-10-04,2024-10-04
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2024-10-04,,ARMS_TZS_Angbat_20241004_00000000,0,0,0,0,2024-10-04,2024-10-04
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2024-10-04,,ARMS_TZS_Angbat_20241004_00000000,0,0,0,0,2024-10-04,2024-10-04
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2024-04-11,2024-10-02,ARMS_TZS_Angbat_20240411_20241002,0,0,0,0,2024-08-20,2024-10-03
TZS,Finland,Angbat,59.84150500,23.24887900,4,4,2024-04-11,2024-10-03,ARMS_TZS_Angbat_20240411_20241003,0,0,0,0,2024-08-20,2024-10-03
TZS,Finland,Kummelkobben,59.86442000,23.26508400,3,6,2021-06-09,2022-06-22,ARMS_TZS_Kummelkobben_20210609_20220622,0,0,0,18,2023-04-27,2024-10-03
TZS,Finland,Kummelkobben,59.86442000,23.26508400,3,6,2021-06-08,2021-11-22,ARMS_TZS_Kummelkobben_20210608_20211122,0,0,0,18,2023-03-31,2024-10-03
TZS,Finland,Kummelkobben,59.86442000,23.26508400,3,6,2020-06-08,2020-11-20,ARMS_TZS_Kummelkobben_20200608_20201120,0,0,0,107,2020-11-30,2024-10-03
TZS,Finland,Kolaviken,59.82199240,22.98722160,3.0,3.5,2023-10-03,2024-04-17,ARMS_TZS_Kolaviken_20231003_20240417,0,0,0,0,2023-10-09,2024-08-20
TZS,Finland,Kolaviken,59.82199240,22.98722160,3.0,3.5,2023-04-18,2023-10-03,ARMS_TZS_Kolaviken_20230418_20231003,0,0,0,107,2023-04-27,2024-04-24
TZS,Finland,Kolaviken,59.82199240,22.98722160,3.0,3.5,2024-04-17,,ARMS_TZS_Kolaviken_20240417_00000000,0,0,0,0,2024-04-24,2024-04-24
Svalbard,Norway,S2,78.18833333,15.14472222,14,14,2018-07-08,2019-08-05,ARMS_Svalbard_S2_20180708_20190805,0,0,0,194,2019-11-11,2021-11-26
Svalbard,Norway,S2,78.18833333,15.14472222,14,14,2019-08-05,2020-08-01,ARMS_Svalbard_S2_20190805_20200801,0,0,0,294,2019-11-11,2021-12-02
Svalbard,Norway,S1A,78.21302778,15.23361111,14,14,2020-08-05,2022-07-29,ARMS_Svalbard_S1A_20200805_20220729,0,0,0,162,2020-09-12,2023-09-21
