station,country,unit,qc_param,qc_flag
SWC,Sweden,Preemraff2,ARMS unit,passed
SWC,Sweden,Preemraff1,ARMS unit,passed
AdriaticEastCoast,Italy,NA,Station,passed
AdriaticEastCoast,Italy,NA,Station,passed
AdriaticEastCoast,Italy,NA,Station,passed
KosterSeafarm,Sweden,NSF1,ARMS unit,passed
KosterSeafarm,Sweden,NSF2,ARMS unit,passed
KosterSeafarm,Sweden,NSF3,ARMS unit,passed
KosterSeafarm,Sweden,NSF4,ARMS unit,passed
KosterSeafarm,Sweden,NSF5,ARMS unit,passed
KosterSeafarm,Sweden,NSF6,ARMS unit,passed
KosterSeafarm,Sweden,NSF7,ARMS unit,passed
KosterSeafarm,Sweden,NSF8,ARMS unit,passed
KosterSeafarm,Sweden,NSF9,ARMS unit,passed
DiskoIsland,Greenland,NA,Station,missing
DiskoIsland,Greenland,DiskoIsland1,ARMS unit,missing
DiskoIsland,Greenland,DiskoIsland2,ARMS unit,missing
DiskoIsland,Greenland,DiskoIsland3,ARMS unit,missing
Cadiz,Spain,NA,Station,missing
Cadiz,Spain,FP2,ARMS unit,missing
Cadiz,Spain,GT1,ARMS unit,missing
Cadiz,Spain,GT2,ARMS unit,missing
Cadiz,Spain,FP1,ARMS unit,missing
Cadiz,Spain,FP3,ARMS unit,missing
Cadiz,Spain,GT3,ARMS unit,missing
Cadiz,Spain,ST1,ARMS unit,missing
Cadiz,Spain,ST3,ARMS unit,missing
Cadiz,Spain,ST2,ARMS unit,missing
Cadiz,Spain,PT2,ARMS unit,missing
Cadiz,Spain,PT1,ARMS unit,missing
Cadiz,Spain,PT3,ARMS unit,missing
