Material_Sample_ID,Parent_Event_ID,Description,Created_At,Updated_At,Sequences,Associated data
ARMS_BelgiumCoast_CPowerB_20231023_20240718_MF500_2,ARMS_BelgiumCoast_CPowerB_20231023_20240718,Motile,2024-07-22,2024-07-22,0,18
ARMS_BelgiumCoast_CPowerB_20231023_20240718_MF100_1,ARMS_BelgiumCoast_CPowerB_20231023_20240718,Motile,2024-07-22,2024-07-22,0,18
ARMS_BelgiumCoast_CPowerB_20231023_20240718_MF500_1,ARMS_BelgiumCoast_CPowerB_20231023_20240718,Motile,2024-07-22,2024-07-22,0,18
ARMS_BelgiumCoast_CPowerB_20231023_20240718_SF40_4,ARMS_BelgiumCoast_CPowerB_20231023_20240718,Sessile,2024-08-28,2024-08-28,0,18
ARMS_BelgiumCoast_CPowerB_20231023_20240718_MF100_2,ARMS_BelgiumCoast_CPowerB_20231023_20240718,Motile,2024-08-28,2024-08-28,0,18
ARMS_BelgiumCoast_CPowerB_20231023_20240718_MF500_3,ARMS_BelgiumCoast_CPowerB_20231023_20240718,Motile,2024-08-28,2024-08-28,0,18
ARMS_BelgiumCoast_CPowerB_20220622_20230905_MF500_1,ARMS_BelgiumCoast_CPowerB_20220622_20230905,Motile,2023-09-11,2023-11-20,0,18
ARMS_BelgiumCoast_CPowerB_20220622_20230905_MF100_2,ARMS_BelgiumCoast_CPowerB_20220622_20230905,Motile,2023-09-11,2023-11-20,0,18
ARMS_BelgiumCoast_CPowerB_20220622_20230905_MF100_1,ARMS_BelgiumCoast_CPowerB_20220622_20230905,Motile,2023-09-11,2023-11-20,0,18
ARMS_BelgiumCoast_CPowerB_20220622_20230905_SF40_1,ARMS_BelgiumCoast_CPowerB_20220622_20230905,Sessile,2023-09-11,2023-11-20,0,18
ARMS_BelgiumCoast_CPowerB_20220622_20230905_SF40_2,ARMS_BelgiumCoast_CPowerB_20220622_20230905,Sessile,2023-09-11,2023-11-20,0,18
ARMS_BelgiumCoast_CPowerB_20220622_20230905_MF500_2,ARMS_BelgiumCoast_CPowerB_20220622_20230905,Motile,2023-09-11,2023-11-20,0,18
ARMS_BelgiumCoast_CPowerB_20210623_20220622_MF100_1,ARMS_BelgiumCoast_CPowerB_20210623_20220622,Motile,2022-10-06,2024-07-31,0,19
ARMS_BelgiumCoast_CPowerB_20210623_20220622_SF40_3,ARMS_BelgiumCoast_CPowerB_20210623_20220622,Sessile,2022-10-06,2024-07-31,0,19
ARMS_BelgiumCoast_CPowerB_20210623_20220622_SF40_1,ARMS_BelgiumCoast_CPowerB_20210623_20220622,Sessile,2022-10-06,2024-07-31,0,19
ARMS_BelgiumCoast_CPowerB_20210623_20220622_SF40_2,ARMS_BelgiumCoast_CPowerB_20210623_20220622,Sessile,2022-10-06,2024-07-31,0,19
ARMS_BelgiumCoast_CPowerB_20210623_20220622_MF100_2,ARMS_BelgiumCoast_CPowerB_20210623_20220622,Motile,2022-10-06,2024-07-31,0,19
ARMS_BelgiumCoast_CPowerB_20210623_20220622_MF500_1,ARMS_BelgiumCoast_CPowerB_20210623_20220622,Motile,2022-10-06,2024-07-31,0,19
ARMS_BelgiumCoast_CPowerB_20210623_20220622_MF500_2,ARMS_BelgiumCoast_CPowerB_20210623_20220622,Motile,2022-10-06,2024-07-31,0,19
ARMS_BelgiumCoast_CPowerA_20210623_20220622_SF40_2,ARMS_BelgiumCoast_CPowerA_20210623_20220622,Sessile,2022-10-06,2024-06-06,0,19
ARMS_BelgiumCoast_CPowerA_20210623_20220622_SF40_1,ARMS_BelgiumCoast_CPowerA_20210623_20220622,Sessile,2022-10-06,2024-06-06,0,19
ARMS_BelgiumCoast_CPowerA_20210623_20220622_SF40_3,ARMS_BelgiumCoast_CPowerA_20210623_20220622,Sessile,2022-10-06,2024-06-06,0,19
ARMS_BelgiumCoast_CPowerA_20210623_20220622_MF100_1,ARMS_BelgiumCoast_CPowerA_20210623_20220622,Motile,2022-10-06,2024-06-06,0,19
ARMS_BelgiumCoast_CPowerA_20210623_20220622_MF500_1,ARMS_BelgiumCoast_CPowerA_20210623_20220622,Motile,2022-10-06,2024-06-06,0,19
ARMS_BelgiumCoast_CPowerA_20210623_20220622_MF100_2,ARMS_BelgiumCoast_CPowerA_20210623_20220622,Motile,2022-10-06,2024-06-06,0,19
ARMS_BelgiumCoast_CPowerA_20210623_20220622_MF500_2,ARMS_BelgiumCoast_CPowerA_20210623_20220622,Motile,2022-10-06,2024-06-06,0,19
ARMS_BelgiumCoast_CPowerA_20231023_20240718_SF40_1,ARMS_BelgiumCoast_CPowerA_20231023_20240718,Sessile,2024-07-22,2024-07-22,0,18
ARMS_BelgiumCoast_CPowerA_20231023_20240718_MF500_2,ARMS_BelgiumCoast_CPowerA_20231023_20240718,Motile,2024-07-22,2024-07-22,0,18
ARMS_BelgiumCoast_CPowerA_20231023_20240718_MF500_1,ARMS_BelgiumCoast_CPowerA_20231023_20240718,Motile,2024-07-22,2024-07-22,0,18
ARMS_BelgiumCoast_CPowerA_20231023_20240718_MF100_1,ARMS_BelgiumCoast_CPowerA_20231023_20240718,Motile,2024-07-22,2024-07-22,0,18
ARMS_BelgiumCoast_CPowerA_20231023_20240718_SF40_3,ARMS_BelgiumCoast_CPowerA_20231023_20240718,Sessile,2024-07-22,2024-07-22,0,18
ARMS_BelgiumCoast_CPowerA_20231023_20240718_SF40_2,ARMS_BelgiumCoast_CPowerA_20231023_20240718,Sessile,2024-07-22,2024-07-22,0,18
ARMS_BelgiumCoast_CPowerA_20231023_20240718_SF40_4,ARMS_BelgiumCoast_CPowerA_20231023_20240718,Sessile,2024-08-28,2024-08-28,0,18
ARMS_BelgiumCoast_CPowerA_20231023_20240718_MF100_2,ARMS_BelgiumCoast_CPowerA_20231023_20240718,Motile,2024-08-28,2024-08-28,0,18
ARMS_BelgiumCoast_CPowerA_20231023_20240718_MF500_3,ARMS_BelgiumCoast_CPowerA_20231023_20240718,Motile,2024-08-28,2024-08-28,0,18
ARMS_BelgiumCoast_CPowerA_20220622_20230905_SF40_1,ARMS_BelgiumCoast_CPowerA_20220622_20230905,Sessile,2023-09-11,2023-11-20,0,18
ARMS_BelgiumCoast_CPowerA_20220622_20230905_SF40_2,ARMS_BelgiumCoast_CPowerA_20220622_20230905,Sessile,2023-09-11,2023-11-20,0,18
ARMS_BelgiumCoast_CPowerA_20220622_20230905_MF100_1,ARMS_BelgiumCoast_CPowerA_20220622_20230905,Motile,2023-09-11,2023-11-20,0,18
ARMS_BelgiumCoast_CPowerA_20220622_20230905_MF500_1,ARMS_BelgiumCoast_CPowerA_20220622_20230905,Motile,2023-09-11,2023-11-20,0,18
ARMS_BelgiumCoast_CPowerA_20220622_20230905_MF500_2,ARMS_BelgiumCoast_CPowerA_20220622_20230905,Motile,2023-09-11,2023-11-20,0,18
ARMS_BelgiumCoast_CPowerC_20231023_20240718_SF40_3,ARMS_BelgiumCoast_CPowerC_20231023_20240718,Sessile,2024-07-22,2024-07-22,0,18
ARMS_BelgiumCoast_CPowerC_20231023_20240718_MF500_1,ARMS_BelgiumCoast_CPowerC_20231023_20240718,Motile,2024-07-22,2024-07-22,0,18
ARMS_BelgiumCoast_CPowerC_20231023_20240718_SF40_1,ARMS_BelgiumCoast_CPowerC_20231023_20240718,Sessile,2024-07-22,2024-07-22,0,18
ARMS_BelgiumCoast_CPowerC_20231023_20240718_SF40_2,ARMS_BelgiumCoast_CPowerC_20231023_20240718,Sessile,2024-07-22,2024-07-22,0,18
ARMS_BelgiumCoast_CPowerC_20231023_20240718_MF100_1,ARMS_BelgiumCoast_CPowerC_20231023_20240718,Motile,2024-07-22,2024-07-22,0,18
ARMS_BelgiumCoast_CPowerC_20231023_20240718_MF500_2,ARMS_BelgiumCoast_CPowerC_20231023_20240718,Motile,2024-07-22,2024-07-22,0,18
ARMS_BelgiumCoast_CPowerC_20231023_20240718_MF100_2,ARMS_BelgiumCoast_CPowerC_20231023_20240718,Motile,2024-08-28,2024-08-28,0,18
ARMS_BelgiumCoast_CPowerC_20231023_20240718_SF40_4,ARMS_BelgiumCoast_CPowerC_20231023_20240718,Sessile,2024-08-28,2024-08-28,0,18
ARMS_BelgiumCoast_CPowerC_20231023_20240718_MF100_3,ARMS_BelgiumCoast_CPowerC_20231023_20240718,Motile,2024-08-28,2024-08-28,0,18
ARMS_BelgiumCoast_CPowerC_20231023_20240718_MF500_3,ARMS_BelgiumCoast_CPowerC_20231023_20240718,Motile,2024-08-28,2024-08-28,0,18
ARMS_BelgiumCoast_CPowerC_20220622_20230905_SF40_2,ARMS_BelgiumCoast_CPowerC_20220522_20230905,Sessile,2023-09-11,2023-11-20,0,18
ARMS_BelgiumCoast_CPowerC_20220622_20230905_SF40_1,ARMS_BelgiumCoast_CPowerC_20220522_20230905,Sessile,2023-09-11,2023-11-20,0,18
ARMS_BelgiumCoast_CPowerC_20220622_20230905_MF100_1,ARMS_BelgiumCoast_CPowerC_20220522_20230905,Motile,2023-09-11,2023-11-20,0,18
ARMS_BelgiumCoast_CPowerC_20220622_20230905_MF100_2,ARMS_BelgiumCoast_CPowerC_20220522_20230905,Motile,2023-09-11,2023-11-20,0,18
ARMS_BelgiumCoast_CPowerC_20220622_20230905_MF500_1,ARMS_BelgiumCoast_CPowerC_20220522_20230905,Motile,2023-09-11,2023-11-20,0,18
ARMS_BelgiumCoast_CPowerC_20210623_20220622_MF100_2,ARMS_BelgiumCoast_CPowerC_20210623_20220622,Motile,2022-10-06,2024-07-31,0,19
ARMS_BelgiumCoast_CPowerC_20210623_20220622_SF40_1,ARMS_BelgiumCoast_CPowerC_20210623_20220622,Sesile,2022-10-06,2024-07-31,0,19
ARMS_BelgiumCoast_CPowerC_20210623_20220622_MF500_1,ARMS_BelgiumCoast_CPowerC_20210623_20220622,Motile,2022-10-06,2024-07-31,0,19
